effect	effect_list	scope	value
wh2_dlc15_unit_ability_spiky_skin	wh2_dlc15_food_dish_2	character_to_character_own_grom_text	1.0000
wh_main_effect_character_stat_missile_resistance	wh2_dlc15_food_dish_2	character_to_character_own_grom_text	30.0000
wh_dlc08_effect_ability_enable_frenzy	wh2_dlc15_food_dish_3	character_to_character_own_grom_text	1.0000
wh_main_effect_attribute_enable_unbreakable	wh2_dlc15_food_dish_3	character_to_character_own_grom_text	1.0000
wh_main_effect_agent_field_line_of_sight_mod	wh2_dlc15_food_dish_4	character_to_character_own_grom_text	20.0000
wh_main_effect_force_all_campaign_movement_range	wh2_dlc15_food_dish_4	character_to_force_own_grom_text	10.0000
wh_main_effect_force_army_campaign_attrition_all_immunity	wh2_dlc15_food_dish_4	character_to_force_own_grom_text	1.0000
wh2_dlc15_effect_replenishment_rate_goblins	wh2_dlc15_food_dish_5	character_to_force_own_grom_text	10.0000
wh_main_effect_force_all_campaign_replenishment_rate	wh2_dlc15_food_dish_5	character_to_force_own_grom_text	10.0000
wh2_dlc15_unit_ability_groms_brain_busta	wh2_dlc15_food_dish_6	character_to_character_own_grom_text	1.0000
wh_main_effect_character_stat_charge_bonus_add	wh2_dlc15_food_dish_6	character_to_character_own_grom_text	25.0000
wh_main_effect_character_stat_melee_defence	wh2_dlc15_food_dish_7	character_to_character_own_grom_text	15.0000
wh_main_effect_character_stat_physical_resistance	wh2_dlc15_food_dish_7	character_to_character_own_grom_text	15.0000
wh2_dlc10_effect_attribute_enable_perfect_vigour	wh2_dlc15_food_dish_8	character_to_character_own_grom_text	1.0000
wh2_dlc15_unit_ability_groms_ead_butt	wh2_dlc15_food_dish_8	character_to_character_own_grom_text	1.0000
wh2_dlc15_unit_ability_groms_glare	wh2_dlc15_food_dish_9	character_to_character_own_grom_text	1.0000
wh_main_effect_attribute_enable_causes_terror	wh2_dlc15_food_dish_9	character_to_character_own_grom_text	1.0000
wh2_dlc15_instant_salvage_dummy	wh2_dlc15_food_fish_1	faction_to_faction_own_unseen	10.0000
wh2_dlc15_physical_resistance_grn_goblin_inf	wh2_dlc15_food_fish_1	faction_to_force_own	12.0000
wh_main_effect_force_all_campaign_raid_income	wh2_dlc15_food_fish_1	faction_to_force_own_unseen	10.0000
wh2_main_effect_force_all_campaign_sacking_income	wh2_dlc15_food_fish_2	faction_to_character_own	10.0000
wh_dlc08_effect_character_stat_enable_frostbite_attacks	wh2_dlc15_food_fish_2	faction_to_character_own	1.0000
wh_dlc05_effect_building_global_recruitment_duration	wh2_dlc15_food_fish_3	faction_to_faction_own_unseen	-1.0000
wh_main_effect_economy_gdp_mod_all	wh2_dlc15_food_fish_3	faction_to_region_own	10.0000
wh_main_effect_public_order_base	wh2_dlc15_food_fish_3	faction_to_province_own	8.0000
wh2_dlc15_instant_gold_dummy	wh2_dlc15_food_fish_4	faction_to_faction_own_unseen	1.0000
wh_main_effect_force_all_campaign_replenishment_rate	wh2_dlc15_food_fish_4	faction_to_force_own	10.0000
wh2_dlc15_spawn_supa_squigs_dummy	wh2_dlc15_food_fish_5	faction_to_force_own	5.0000
wh2_dlc15_unit_ability_spiky_skin_goblin_inf	wh2_dlc15_food_fish_5	faction_to_force_own	1.0000
wh_main_effect_force_stat_leadership_enemy_unit	wh2_dlc15_food_mushroom_1	faction_to_force_enemy	-8.0000
wh_main_effect_force_stat_leadership_siege_attack_enemy	wh2_dlc15_food_mushroom_1	general_to_force_enemy_regionwide	-8.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh2_dlc15_food_mushroom_2	faction_to_character_own	-10.0000
wh3_main_effect_winds_of_magic_pool_cap	wh2_dlc15_food_mushroom_2	faction_to_force_own	10.0000
wh2_dlc15_effect_province_growth_groms_cauldron	wh2_dlc15_food_mushroom_3	faction_to_province_own	10.0000
wh2_dlc15_grn_fill_waaaagh_bar_dummy	wh2_dlc15_food_mushroom_3	faction_to_faction_own_unseen	5.0000
wh_main_effect_agent_action_cost_mod	wh2_dlc15_food_mushroom_4	faction_to_character_own_unseen	-25.0000
wh_main_effect_agent_action_success_chance	wh2_dlc15_food_mushroom_4	faction_to_character_own_unseen	10.0000
wh2_dlc15_frenzy_goblin_inf	wh2_dlc15_food_mushroom_5	faction_to_force_own	1.0000
wh_main_effect_force_stat_fire_resistance	wh2_dlc15_food_mushroom_5	faction_to_force_own	25.0000
wh2_dlc15_unit_ability_ghostly_protection_idol	wh2_dlc15_food_slime_1	faction_to_force_own_unseen	1.0000
wh_main_effect_force_army_campaign_attrition_all_resistance	wh2_dlc15_food_slime_1	faction_to_force_own_unseen	-20.0000
wh2_dlc15_unit_ability_immense_power_idol	wh2_dlc15_food_slime_2	faction_to_force_own_unseen	1.0000
wh_main_effect_technology_research_points	wh2_dlc15_food_slime_2	faction_to_faction_own_unseen	10.0000
wh2_dlc15_unit_ability_monstrous_disease_troll_giant	wh2_dlc15_food_slime_3	faction_to_force_own_unseen	1.0000
wh_main_effect_tech_unit_xp_levels_trolls	wh2_dlc15_food_slime_3	faction_to_force_own	2.0000
wh2_dlc15_spawn_lava_spider_rider_dummy	wh2_dlc15_food_slime_4	faction_to_force_own_unseen	5.0000
wh2_dlc15_unit_ability_maternal_instinct_arachnarok_spiders	wh2_dlc15_food_slime_4	faction_to_force_own_unseen	1.0000
wh2_dlc15_unit_ability_ignore_pain_trolls_giants	wh2_dlc15_food_slime_5	faction_to_force_own_unseen	1.0000
wh_main_effect_force_army_campaign_recruitment_cost_trolls	wh2_dlc15_food_slime_5	faction_to_force_own_unseen	-50.0000
wh2_dlc15_cause_fear_goblin_inf	wh2_dlc15_food_special_dish_1	character_to_force_own_factionwide	1.0000
wh_main_effect_character_stat_ward_save	wh2_dlc15_food_special_dish_1	character_to_character_own_grom_text	10.0000
wh_dlc05_effect_building_army_xp_gain	wh2_dlc15_food_special_dish_2	character_to_force_own_factionwide	50.0000
wh_dlc05_effect_building_global_recruitment_duration	wh2_dlc15_food_special_dish_2	character_to_faction	-2.0000
wh_main_effect_force_all_campaign_experience_base_all	wh2_dlc15_food_special_dish_2	character_to_force_own_factionwide	4.0000
wh2_dlc10_effect_ability_enable_bound_fiery_convocation	wh2_dlc15_food_special_dish_3	character_to_character_own_grom_text	1.0000
wh2_dlc15_enable_inflammable_attacks	wh2_dlc15_food_special_dish_3	character_to_character_own_grom_text	1.0000
wh2_main_effect_character_stat_enable_flaming_attacks	wh2_dlc15_food_special_dish_3	character_to_force_own_grom_text	1.0000
wh_main_effect_conquest_enable_night_battles	wh2_dlc15_food_special_dish_4	character_to_character_own_grom_text	1.0000
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_dlc15_food_special_dish_4	character_to_force_own_factionwide	15.0000
wh_main_effect_force_stat_ammunition_artillery	wh2_dlc15_food_special_dish_5	character_to_force_own_grom_text	15.0000
wh_main_effect_force_stat_missile_damage_artillery	wh2_dlc15_food_special_dish_5	character_to_force_own_grom_text	15.0000
wh_pro01_effect_ability_enable_flash_bang	wh2_dlc15_food_special_dish_5	character_to_character_own_grom_text	1.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_farm_1	province_to_province_own_unseen	-5.0000
wh_main_effect_province_growth_building	wh2_main_def_farm_1	region_to_province_own	10.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_farm_2	province_to_province_own_unseen	-10.0000
wh_main_effect_province_growth_building	wh2_main_def_farm_2	region_to_province_own	25.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_farm_3	province_to_province_own_unseen	-15.0000
wh_main_effect_province_growth_building	wh2_main_def_farm_3	region_to_province_own	40.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_def_industry_1	building_to_building_own	100.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_industry_1	province_to_province_own_unseen	-15.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_def_industry_2	building_to_building_own	350.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_industry_2	province_to_province_own_unseen	-25.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_def_industry_3	building_to_building_own	500.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_industry_3	province_to_province_own_unseen	-35.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_order_1	province_to_province_own_unseen	-10.0000
wh_main_effect_public_order_base	wh2_main_def_order_1	province_to_province_own_unseen	1.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_order_2	province_to_province_own_unseen	-15.0000
wh_main_effect_public_order_base	wh2_main_def_order_2	province_to_province_own_unseen	3.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_order_3	province_to_province_own_unseen	-20.0000
wh_main_effect_public_order_base	wh2_main_def_order_3	province_to_province_own_unseen	5.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_pleasure_cult_1	province_to_province_own_unseen	-5.0000
wh_main_effect_public_order_base	wh2_main_def_pleasure_cult_1	province_to_province_own_unseen	1.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_pleasure_cult_2	province_to_province_own_unseen	-5.0000
wh_main_effect_public_order_base	wh2_main_def_pleasure_cult_2	province_to_province_own_unseen	1.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_pleasure_cult_3	province_to_province_own_unseen	-10.0000
wh_main_effect_public_order_base	wh2_main_def_pleasure_cult_3	province_to_province_own_unseen	3.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_pleasure_cult_4	province_to_province_own_unseen	-10.0000
wh_main_effect_public_order_base	wh2_main_def_pleasure_cult_4	province_to_province_own_unseen	3.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_pleasure_cult_5	province_to_province_own_unseen	-15.0000
wh_main_effect_public_order_base	wh2_main_def_pleasure_cult_5	province_to_province_own_unseen	5.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_def_port_1	building_to_building_own	100.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_port_1	province_to_province_own_unseen	-10.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_def_port_2	building_to_building_own	300.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_port_2	province_to_province_own_unseen	-30.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_def_port_3	building_to_building_own	500.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_def_port_3	province_to_province_own_unseen	-50.0000
wh3_main_effect_economy_gdp_slaves	wh2_main_special_yvresse_amphitheatre_def	building_to_building_own	200.0000
wh3_main_pooled_resource_def_slaves_buildings_used	wh2_main_special_yvresse_amphitheatre_def	province_to_province_own_unseen	-50.0000
wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_dlc20_archaon_vassal_bonus	faction_to_faction_own_unseen	10.0000
wh3_dlc20_effect_undivided_souls_per_turn_hidden	wh3_dlc20_archaon_vassal_bonus	faction_to_faction_own_unseen	25.0000
wh_main_effect_technology_research_rate_mod	wh3_dlc20_archaon_vassal_bonus	faction_to_faction_own_unseen	10.0000
wh_main_effect_character_stat_melee_defence	wh3_dlc20_character_initiative_chs_chaos_lord_kho_01	character_to_character_own	5.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_lord_kho_01	character_to_character_own	5.0000
wh3_main_effect_ability_enable_revel_in_slaughter	wh3_dlc20_character_initiative_chs_chaos_lord_kho_02	character_to_character_own	1.0000
wh_main_effect_character_stat_melee_attack	wh3_dlc20_character_initiative_chs_chaos_lord_kho_02	character_to_character_own	5.0000
wh_main_effect_character_stat_melee_attack	wh3_dlc20_character_initiative_chs_chaos_lord_kho_03	character_to_character_own	5.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc20_character_initiative_chs_chaos_lord_kho_03	character_to_character_own	5.0000
wh3_dlc20_effect_ability_enable_trophy_heads	wh3_dlc20_character_initiative_chs_chaos_lord_kho_04	character_to_character_own	1.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc20_character_initiative_chs_chaos_lord_kho_04	character_to_character_own	5.0000
wh3_main_effect_ability_enable_chaos_armour	wh3_dlc20_character_initiative_chs_chaos_lord_kho_05	character_to_character_own	1.0000
wh_main_effect_character_stat_missile_resistance	wh3_dlc20_character_initiative_chs_chaos_lord_kho_05	character_to_character_own	10.0000
wh_main_effect_character_stat_ward_save	wh3_dlc20_character_initiative_chs_chaos_lord_kho_06	character_to_character_own	5.0000
wh3_main_effect_ability_enable_gate_of_khorne	wh3_dlc20_character_initiative_chs_chaos_lord_kho_07	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_character_initiative_chs_chaos_lord_kho_08	character_to_force_own_alt_text	-10.0000
wh3_dlc20_effect_xp_gain_rate_khorne_units	wh3_dlc20_character_initiative_chs_chaos_lord_kho_08	character_to_force_own_alt_text	10.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc20_character_initiative_chs_chaos_lord_kho_09	character_to_force_own_unseen	10.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc20_character_initiative_chs_chaos_lord_kho_09	character_to_character_own	10.0000
wh_main_effect_character_stat_physical_resistance	wh3_dlc20_character_initiative_chs_chaos_lord_sla_01	character_to_character_own	5.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_lord_sla_01	character_to_character_own	5.0000
wh3_main_effect_character_stat_enable_soporific_musk	wh3_dlc20_character_initiative_chs_chaos_lord_sla_02	character_to_character_own	1.0000
wh_main_effect_character_stat_ap_damage	wh3_dlc20_character_initiative_chs_chaos_lord_sla_02	character_to_character_own	50.0000
wh_main_effect_character_stat_melee_attack	wh3_dlc20_character_initiative_chs_chaos_lord_sla_03	character_to_character_own	5.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc20_character_initiative_chs_chaos_lord_sla_03	character_to_character_own	5.0000
wh3_main_effect_ability_enable_feasting_on_fear	wh3_dlc20_character_initiative_chs_chaos_lord_sla_04	character_to_character_own	1.0000
wh_main_effect_attribute_enable_causes_terror	wh3_dlc20_character_initiative_chs_chaos_lord_sla_04	character_to_character_own	1.0000
wh3_main_effect_ability_enable_chaos_armour	wh3_dlc20_character_initiative_chs_chaos_lord_sla_05	character_to_character_own	1.0000
wh_main_effect_character_stat_missile_resistance	wh3_dlc20_character_initiative_chs_chaos_lord_sla_05	character_to_character_own	10.0000
wh_main_effect_character_stat_ward_save	wh3_dlc20_character_initiative_chs_chaos_lord_sla_06	character_to_character_own	5.0000
wh3_main_effect_ability_enable_gate_of_slaanesh	wh3_dlc20_character_initiative_chs_chaos_lord_sla_07	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_character_initiative_chs_chaos_lord_sla_08	character_to_force_own_alt_text	-10.0000
wh3_dlc20_effect_xp_gain_rate_slaanesh_units	wh3_dlc20_character_initiative_chs_chaos_lord_sla_08	character_to_force_own_alt_text	10.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc20_character_initiative_chs_chaos_lord_sla_09	character_to_force_own_unseen	10.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc20_character_initiative_chs_chaos_lord_sla_09	character_to_character_own	10.0000
wh_main_effect_character_stat_armour	wh3_dlc20_character_initiative_chs_chaos_lord_und_01	character_to_character_own	15.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_lord_und_01	character_to_character_own	5.0000
wh_main_effect_character_stat_melee_attack	wh3_dlc20_character_initiative_chs_chaos_lord_und_02	character_to_character_own	5.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc20_character_initiative_chs_chaos_lord_und_02	character_to_character_own	5.0000
wh3_dlc20_effect_ability_enable_giver_of_glory	wh3_dlc20_character_initiative_chs_chaos_lord_und_03	character_to_character_own	1.0000
wh_main_effect_character_stat_weapon_strength	wh3_dlc20_character_initiative_chs_chaos_lord_und_03	character_to_character_own	5.0000
wh3_main_effect_corruption_chaos_characters	wh3_dlc20_character_initiative_chs_chaos_lord_und_04	character_to_province_any	1.0000
wh_main_effect_public_order_characters	wh3_dlc20_character_initiative_chs_chaos_lord_und_04	character_to_province_own	2.0000
wh3_main_effect_ability_enable_chaos_armour	wh3_dlc20_character_initiative_chs_chaos_lord_und_05	character_to_character_own	1.0000
wh_main_effect_character_stat_missile_resistance	wh3_dlc20_character_initiative_chs_chaos_lord_und_05	character_to_character_own	10.0000
wh_main_effect_character_stat_ward_save	wh3_dlc20_character_initiative_chs_chaos_lord_und_06	character_to_character_own	5.0000
wh3_main_effect_ability_enable_bound_the_portalglyph	wh3_dlc20_character_initiative_chs_chaos_lord_und_07	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_character_initiative_chs_chaos_lord_und_08	character_to_force_own_alt_text	-10.0000
wh3_dlc20_effect_xp_gain_rate_undivided_units	wh3_dlc20_character_initiative_chs_chaos_lord_und_08	character_to_force_own_alt_text	10.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc20_character_initiative_chs_chaos_lord_und_09	character_to_force_own_unseen	10.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc20_character_initiative_chs_chaos_lord_und_09	character_to_character_own	10.0000
wh2_main_effect_ability_enable_regeneration	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_01	character_to_character_own	1.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_01	character_to_character_own	5.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_02	character_to_character_own	-10.0000
wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_02	character_to_character_own	-10.0000
wh3_dlc20_effect_ability_gift_of_chaos_aspiring_champions	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_03	general_to_force_own	1.0000
wh3_main_effect_corruption_nurgle_characters	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_04	character_to_province_any	1.0000
wh_main_effect_province_growth_characters	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_04	character_to_province_own	15.0000
wh3_main_effect_ability_enable_blight_swarm	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_05	character_to_character_own	1.0000
wh_main_effect_character_stat_melee_defence	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_05	character_to_character_own	5.0000
wh3_dlc20_effect_ability_enable_bound_stream_of_corruption	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_06	character_to_character_own	1.0000
wh2_dlc11_effect_ability_enable_bound_purple_sun_of_xereus	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_07	character_to_character_own	1.0000
wh3_main_effect_ability_enable_gate_of_nurgle	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_08	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_09	character_to_force_own_alt_text	-10.0000
wh3_dlc20_effect_xp_gain_rate_undivided_units	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_09	character_to_force_own_alt_text	10.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_10	character_to_force_own_unseen	10.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_10	character_to_character_own	10.0000
wh3_main_effect_battle_barrier_health_add	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_01	character_to_character_own	200.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_01	character_to_character_own	5.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_02	character_to_character_own	-10.0000
wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_02	character_to_character_own	-10.0000
wh3_dlc20_effect_ability_gift_of_chaos_aspiring_champions	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_03	general_to_force_own	1.0000
wh_main_effect_ability_enable_kindleflame	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_04	character_to_character_own	1.0000
wh_main_effect_ability_enable_life-leeching	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_04	character_to_character_own	1.0000
wh3_main_effect_ability_enable_gaze_of_fate	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_05	character_to_character_own	1.0000
wh3_main_effect_winds_of_magic_character	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_05	character_to_force_own_unseen	2.0000
wh3_dlc20_effect_ability_enable_bound_gehennas_golden_hounds	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_06	character_to_character_own	1.0000
wh3_dlc20_effect_ability_enable_bound_pink_fire_of_tzeentch	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_07	character_to_character_own	1.0000
wh3_main_effect_ability_enable_gate_of_tzeentch	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_08	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_09	character_to_force_own_alt_text	-10.0000
wh3_dlc20_effect_xp_gain_rate_undivided_units	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_09	character_to_force_own_alt_text	10.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_10	character_to_force_own_unseen	10.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_10	character_to_character_own	10.0000
wh_main_effect_character_stat_armour	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_01	character_to_character_own	15.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_01	character_to_character_own	5.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_02	character_to_character_own	-10.0000
wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_02	character_to_character_own	-10.0000
wh3_dlc20_effect_ability_gift_of_chaos_aspiring_champions	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_03	general_to_force_own	1.0000
wh3_main_effect_ability_enable_fires_of_change	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_04	character_to_character_own	1.0000
wh3_main_effect_battle_barrier_health_add	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_04	character_to_character_own	200.0000
wh3_main_effect_ability_enable_children_of_nurgle	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_05	character_to_character_own	1.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_05	character_to_character_own	5.0000
wh3_dlc20_effect_ability_enable_bound_gehennas_golden_hounds	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_06	character_to_character_own	1.0000
wh3_dlc20_effect_ability_enable_bound_penumbral_pendulum	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_07	character_to_character_own	1.0000
wh3_main_effect_ability_enable_bound_the_portalglyph	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_08	character_to_character_own	1.0000
wh3_dlc20_effect_unit_upgrade_cost	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_09	character_to_force_own_alt_text	-10.0000
wh3_dlc20_effect_xp_gain_rate_undivided_units	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_09	character_to_force_own_alt_text	10.0000
wh3_dlc20_effect_pooled_resource_mod_souls_battle	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_10	character_to_force_own_unseen	10.0000
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_10	character_to_character_own	10.0000
wh_main_effect_character_stat_physical_resistance	wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_01	character_to_character_own	5.0000
wh_main_effect_character_stat_unit_health	wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_01	character_to_character_own	5.0000
wh2_dlc12_effect_magic_cooldown_all_lores	wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_02	character_to_character_own	-10.0000
wh2_dlc14_effect_magic_cost_all_lores_percentage	wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_02	character_to_character_own	-10.0000
wh3_main_effect_attribute_enable_devestating_flanker	wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_03	character_to_character_own	1.0000
wh3_main_effect_force_stat_charge_bonus_add_sla_hellstriders	wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_03	character_to_force_own_alt_text	10.0000
