attribute	phase	attribute_type
unbreakable	wh2_dlc13_lord_passive_merely_a_fleshwound	positive
immune_to_psychology	wh2_dlc13_unit_passive_grim_resolve	positive
charge_defense_vs_large	wh2_dlc13_weapon_abilities_ostermark_runefang	positive
snipe	wh2_dlc14_character_abilities_from_the_shadows	positive
stalk	wh2_dlc14_character_abilities_from_the_shadows	positive
unspottable	wh2_dlc14_character_abilities_from_the_shadows	positive
rampage	wh2_dlc15_abilities_fermented_fungi	positive
causes_fear	wh2_dlc15_army_abilities_azhags_big_waaagh	positive
causes_terror	wh2_dlc15_army_abilities_azhags_big_waaagh	positive
causes_fear	wh2_dlc15_army_abilities_azhags_waaagh	positive
causes_terror	wh2_dlc15_army_abilities_azhags_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_big_waaagh	positive
snipe	wh2_dlc15_army_abilities_envelop_in_mist	positive
stalk	wh2_dlc15_army_abilities_envelop_in_mist	positive
unspottable	wh2_dlc15_army_abilities_envelop_in_mist	positive
immune_to_psychology	wh2_dlc15_army_abilities_grimgors_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_grimgors_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_groms_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_groms_waaagh	positive
fatigue_immune	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	positive
unbreakable	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	positive
immune_to_psychology	wh2_dlc15_army_abilities_skarsniks_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_skarsniks_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_wurrzags_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_wurrzags_waaagh	positive
unbreakable	wh2_dlc15_item_abilities_helm_of_yvresse	positive
rampage	wh2_dlc15_lord_abilities_bad_trip	positive
causes_fear	wh2_dlc15_lord_abilities_dragonhorn	positive
immune_to_psychology	wh2_dlc15_lord_passive_language_of_da_boyz	positive
rampage	wh2_dlc15_unit_abilities_mimic_cold_blooded	negative
unbreakable	wh2_dlc15_unit_passive_ignore_pain	positive
causes_fear	wh2_dlc15_unit_passive_mimic_ethereal	positive
causes_terror	wh2_dlc15_unit_passive_mimic_ethereal	positive
strider	wh2_dlc15_unit_passive_mimic_ethereal	positive
immune_to_psychology	wh2_dlc15_unit_passive_monstrous_disease	positive
immune_to_psychology	wh2_dlc15_unit_passive_omen_of_hope	positive
rampage	wh2_dlc15_unit_passive_rubble_and_ruin_tier_3	positive
immune_to_psychology	wh2_dlc16_hero_abilities_shock_collar	positive
stalk	wh2_dlc16_lord_abilities_loecs_blessing	positive
unspottable	wh2_dlc16_lord_abilities_loecs_blessing	positive
rampage	wh2_dlc16_unit_abilities_fluid_injection	positive
charge_defense	wh2_dlc17_army_abilities_cacophonous_assault_upgraded	negative
charge_defense_vs_large	wh2_dlc17_army_abilities_cacophonous_assault_upgraded	negative
unbreakable	wh2_dlc17_army_abilities_touched_by_the_moon_1	positive
immune_to_psychology	wh2_dlc17_hero_passive_something_wicked_this_way_comes_upgrade	negative
snipe	wh2_dlc17_lord_abilities_master_predator	positive
unspottable	wh2_dlc17_lord_abilities_master_predator	positive
causes_fear	wh2_dlc17_lord_abilities_rune_of_doom	positive
immune_to_psychology	wh2_dlc17_unit_passive_bloodgreed_upgraded	positive
fatigue_immune	wh2_dlc17_unit_passive_drunken_bravado	positive
stalk	wh2_dlc17_unit_passive_master_of_the_sacred_places	positive
strider	wh2_dlc17_unit_passive_wayfarer	positive
rampage	wh2_main_character_abilities_cold_blooded	negative
rampage	wh2_main_character_abilities_witchbrew	positive
causes_fear	wh2_main_faction_abilities_murderous_mastery	positive
stalk	wh2_main_item_abilities_armour_of_the_stars	positive
unspottable	wh2_main_item_abilities_armour_of_the_stars	positive
immune_to_psychology	wh2_main_item_abilities_pearl_of_infinite_bleakness	positive
immune_to_psychology	wh2_main_item_abilities_skavenbrew	positive
causes_fear	wh2_main_spell_high_magic_apotheosis	positive
immune_to_psychology	wh2_main_spell_ruin_death_frenzy	positive
stalk	wh2_main_spell_ruin_skitterleap_upgraded	positive
unspottable	wh2_main_spell_ruin_skitterleap_upgraded	positive
stalk	wh2_main_spell_ruin_skitterleap	positive
unspottable	wh2_main_spell_ruin_skitterleap	positive
stalk	wh2_main_unit_abilities_concealment_bombs	positive
unspottable	wh2_main_unit_abilities_concealment_bombs	positive
rampage	wh2_main_unit_abilities_fury_of_khaine	positive
rampage	wh2_main_unit_contact_witch_elf_poison	positive
rampage	wh2_twa03_lord_abilities_beastlords_gaze	negative
rampage	wh2_twa03_lord_passive_beastlords_presence	negative
causes_fear	wh2_twa03_weapon_abilities_whip_of_agony	negative
causes_terror	wh2_twa03_weapon_abilities_whip_of_agony	negative
rampage	wh3_dlc20_contact_effect_euphoria	positive
charge_reflection	wh3_dlc20_item_abilities_the_armour_of_morkar	positive
ignore_imbue_contact_effects_enemy	wh3_dlc20_item_passive_bronze_armour_of_zhrakk	positive
causes_terror	wh3_dlc20_item_passive_the_crown_of_domination_self	positive
immune_to_psychology	wh3_dlc20_lord_passive_paragon_of_ruin	positive
immune_to_psychology	wh3_dlc23_army_abilities_armour_of_contempt	positive
ignore_imbue_contact_effects_enemy	wh3_dlc23_item_abilities_embrace_of_skavor	positive
causes_terror	wh3_dlc23_item_abilities_slayer_for_chaos_grimnir	positive
unbreakable	wh3_dlc23_item_abilities_slayer_for_chaos_grimnir	positive
ignore_imbue_contact_effects_enemy	wh3_dlc23_item_passive_chaos_runeshield	positive
fatigue_immune	wh3_dlc23_lord_passive_champions_of_the_maw	positive
unbreakable	wh3_dlc23_lord_passive_presence_of_the_high_king	positive
strider	wh3_dlc23_mount_passive_horseback_progidy	positive
unbreakable	wh3_dlc23_unit_passive_burning_bright	positive
unbreakable	wh3_dlc23_unit_passive_by_our_blood	positive
charge_defense	wh3_dlc23_unit_passive_dig_in_ii	positive
charge_defense	wh3_dlc23_unit_passive_dig_in_long_range_upgraded_ii	positive
charge_defense	wh3_dlc23_unit_passive_dig_in_short_range_upgraded_ii	positive
fatigue_immune	wh3_dlc23_unit_passive_hellbound	positive
immune_to_psychology	wh3_dlc24_lord_abilities_armour_of_the_dragons_gaze_2	positive
stalk	wh3_dlc24_lord_abilities_cowled_and_cloaked	positive
snipe	wh3_dlc24_lord_abilities_deceiving_shadows	positive
stalk	wh3_dlc24_lord_abilities_deceiving_shadows	positive
unspottable	wh3_dlc24_lord_abilities_deceiving_shadows	positive
causes_fear	wh3_dlc24_remove_fear_and_terror_attribute_hidden_ability	negative
causes_terror	wh3_dlc24_remove_fear_and_terror_attribute_hidden_ability	negative
immune_to_psychology	wh3_dlc24_unit_abilities_disdain_of_the_dragon_emperor	positive
snipe	wh3_dlc24_unit_passive_deadeyes_sting	positive
stalk	wh3_dlc24_unit_passive_deadeyes_sting	positive
can_block_missiles_360	wh3_dlc24_unit_passive_frostwyverns_toil	positive
fatigue_immune	wh3_dlc24_unit_passive_rats_grit	positive
devastating_flanker	wh3_dlc24_unit_passive_unburdened_step	positive
strider	wh3_dlc24_unit_passive_unburdened_step	positive
rampage	wh3_dlc24_unit_passive_whiff_of_madness	positive
rampage	wh3_main_army_abilities_fascination	positive
unbreakable	wh3_main_army_abilities_relentless_rage	positive
immune_to_psychology	wh3_main_ascendant_beasts_ascendancy	positive
fatigue_immune	wh3_main_ascendant_life_ascendancy	positive
stalk	wh3_main_character_abilities_from_the_shadows	positive
unspottable	wh3_main_character_abilities_from_the_shadows	positive
unbreakable	wh3_main_character_abilities_kineater	positive
unbreakable	wh3_main_character_abilities_unyielding_defender	positive
unbreakable	wh3_main_daemon_arms_passive_for_the_slaughter_upgraded_iii	positive
rampage	wh3_main_daemon_head_abilities_call_for_power	positive
unbreakable	wh3_main_item_abilities_banner_of_ecstacy	positive
immune_to_psychology	wh3_main_item_abilities_banner_of_praag	positive
unbreakable	wh3_main_item_abilities_gastuvas_egg	positive
stalk	wh3_main_item_abilities_gnoblar_thiefstone	positive
unspottable	wh3_main_item_abilities_gnoblar_thiefstone	positive
strider	wh3_main_item_abilities_scales_of_the_celestial_court	positive
charge_defense_vs_large	wh3_main_item_abilities_steppe_hunters_horn	positive
causes_terror	wh3_main_item_abilities_ursuns_claws	positive
rampage	wh3_main_item_abilities_ursuns_claws	positive
charge_defense	wh3_main_item_passive_blood_of_the_motherland	positive
immune_to_psychology	wh3_main_item_passive_jade_lion	positive
immune_to_psychology	wh3_main_item_passive_overtyrants_crown	positive
immune_to_psychology	wh3_main_item_passive_pennant_of_the_great_orthodoxy	positive
causes_terror	wh3_main_lord_abilities_fury_of_ursun	positive
rampage	wh3_main_lord_abilities_fury_of_ursun	positive
stalk	wh3_main_lord_abilities_hidden_in_time	positive
unspottable	wh3_main_lord_abilities_hidden_in_time	positive
charge_defense	wh3_main_lord_abilities_inspired_defence_ii	positive
charge_defense	wh3_main_lord_abilities_inspired_defence_iii	positive
rampage	wh3_main_lord_abilities_rage_embodied	positive
rampage	wh3_main_lord_abilities_rage_incarnate	positive
rampage	wh3_main_lord_abilities_seductive_glory	positive
immune_to_psychology	wh3_main_lord_abilities_wrath_of_the_storm	positive
rampage	wh3_main_lord_abilities_wrathful_reaper	positive
rampage	wh3_main_lord_passive_whisper_of_glory	positive
immune_to_psychology	wh3_main_lord_passive_whispers_in_the_darkness	negative
causes_terror	wh3_main_prisoners_massacre	positive
rampage	wh3_main_spell_slaanesh_hysterical_frenzy_upgraded	positive
rampage	wh3_main_spell_slaanesh_hysterical_frenzy	positive
rampage	wh3_main_spell_slaanesh_pavane_of_slaanesh_upgraded	positive
rampage	wh3_main_spell_slaanesh_pavane_of_slaanesh	positive
charge_defense	wh3_main_spell_yang_stone_ground_stance_upgraded	positive
charge_defense	wh3_main_spell_yang_stone_ground_stance	positive
snipe	wh3_main_spell_yin_cloak_of_jet_upgraded	positive
stalk	wh3_main_spell_yin_cloak_of_jet_upgraded	positive
unspottable	wh3_main_spell_yin_cloak_of_jet_upgraded	positive
snipe	wh3_main_spell_yin_cloak_of_jet	positive
stalk	wh3_main_spell_yin_cloak_of_jet	positive
unspottable	wh3_main_spell_yin_cloak_of_jet	positive
ogre_charge	wh3_main_unit_abilities_mimic_brutish_charge	positive
unbreakable	wh3_main_unit_passive_by_our_blood	positive
immune_to_psychology	wh3_main_unit_passive_enduring_devotion	positive
undead	wh3_pro11_hero_passive_bane_of_the_dead	negative
unbreakable	wh3_supplies_rally_01	positive
rampage	wh3_survival_khorne_2_blood	positive
rampage	wh3_twa06_unit_contact_rampage	positive
causes_terror	wh3_twa06_unit_passive_gloom_of_flies	positive
immune_to_psychology	wh_dlc01_item_passive_the_crown_of_domination	positive
immune_to_psychology	wh_dlc03_unit_passive_bloodgreed	positive
fatigue_immune	wh_dlc03_unit_passive_drunken	positive
immune_to_psychology	wh_dlc03_unit_passive_primal_fury	positive
causes_terror	wh_dlc03_weapon_abilities_axe_of_men	positive
unbreakable	wh_dlc03_weapon_abilities_axe_of_men	positive
causes_fear	wh_dlc05_banner_passive_banner_of_the_hunter_king	positive
charge_defense_vs_large	wh_dlc05_unit_passive_guardians_of_the_wildwood	positive
charge_defense	wh_dlc06_lord_abilities_mighty_oath_stone	positive
stalk	wh_dlc06_lord_abilities_tricksy_traps	positive
unspottable	wh_dlc06_lord_abilities_tricksy_traps	positive
immune_to_psychology	wh_dlc06_rune_passive_rune_of_hearth_and_home	positive
immune_to_psychology	wh_dlc07_unit_passive_icon_of_devotion	positive
immune_to_psychology	wh_dlc07_unit_passive_impetuous	positive
unbreakable	wh_dlc08_item_abilities_the_wintertooth_crown	positive
unbreakable	wh_dlc08_item_abilities_vial_of_troll_blood	positive
rampage	wh_dlc08_unit_abilities_berserk_ii	positive
immune_to_psychology	wh_main_banner_passive_banner_of_rage	positive
strider	wh_main_banner_passive_spider_banner	positive
strider	wh_main_item_abilities_cloak_of_mists_and_shadows	positive
unbreakable	wh_main_item_abilities_crown_of_command	positive
unbreakable	wh_main_item_abilities_potion_of_foolhardiness	positive
immune_to_psychology	wh_main_lord_passive_beloved_son_of_bretonnia	positive
immune_to_psychology	wh_main_lore_passive_exorcism	positive
immune_to_psychology	wh_main_mark_passive_mark_of_khorne	positive
unbreakable	wh_main_rune_abilities_ancestor_rune	positive
immune_to_psychology	wh_main_rune_abilities_rune_of_courage	positive
unbreakable	wh_main_rune_abilities_rune_of_stoicism	positive
causes_fear	wh_main_spell_death_aspect_of_the_dreadknight_upgraded	positive
causes_terror	wh_main_spell_death_aspect_of_the_dreadknight_upgraded	positive
causes_fear	wh_main_spell_death_aspect_of_the_dreadknight	positive
causes_terror	wh_main_spell_death_aspect_of_the_dreadknight	positive
unbreakable	wh_main_spell_light_light_of_battle_upgraded	positive
unbreakable	wh_main_spell_light_light_of_battle	positive
stalk	wh_main_spell_lil_waaagh_night_shroud_upgraded	positive
unspottable	wh_main_spell_lil_waaagh_night_shroud_upgraded	positive
stalk	wh_main_spell_lil_waaagh_night_shroud	positive
unspottable	wh_main_spell_lil_waaagh_night_shroud	positive
strider	wh_main_unit_abilities_black_nimbus	positive
immune_to_psychology	wh_main_unit_passive_frenzy	positive
causes_terror	wh_main_weapon_abilities_filth_mace	positive
unbreakable	wh_pro01_lord_passive_grombrindal_has_no_fear	positive
stalk	wh_pro04_unit_abilities_loecs_shroud	positive
unspottable	wh_pro04_unit_abilities_loecs_shroud	positive
