key	expression	display_only_active_effects	always_show_display_text
FavouredCorruptionNone	Owner.IsInFactionSet("FavouredCorruptionNone") == true	true	false
FavouredCorruptionNurgle	Owner.IsInFactionSet("FavouredCorruptionNurgle") == true	true	false
FavouredCorruptionSkaven	Owner.IsInFactionSet("FavouredCorruptionSkaven") == true	true	false
FavouredCorruptionSlaanesh	Owner.IsInFactionSet("FavouredCorruptionSlaanesh") == true	true	false
FavouredCorruptionTzeentch	Owner.IsInFactionSet("FavouredCorruptionTzeentch") == true	true	false
FavouredCorruptionUndivided	Owner.IsInFactionSet("FavouredCorruptionUndivided") == true	true	false
FavouredCorruptionVampiric	Owner.IsInFactionSet("FavouredCorruptionVampiric") == true	true	false
GDPGreaterThan300	Region.GDP >= 300	false	false
GrowthGreaterThan200	Region.Growth >= 200	false	false
GrowthGreaterThan200DPare5	Region.GrowthPerTurn >= 200 || Region.DevelopmentPoints >= 5	false	false
GrowthPerTurnGreaterThan200	Region.GrowthPerTurn >= 200	false	false
HasAzazelUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_sla_azazel_buildings")	true	false
HasCHDChaosCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_sorcery_2")	false	false
HasCHDHashutInfluenceTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_sorcery_17")	false	false
HasCHDLogisticsTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_industry_16")	false	false
HasCHDResourceArmamentsTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_industry_17")	false	false
HasCHDResourceIncomeTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_industry_18")	false	false
HasCHDResourceRawMaterialsTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_industry_9")	false	false
HasCHDScavengerIncomeTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_industry_13")	false	false
HasCHDTowerInfluenceTech	Owner.IsTechnologyResearched("wh3_dlc23_tech_chd_sorcery_20")	false	false
HasClayScryingTech	Owner.IsTechnologyResearched("wh3_main_tech_cth_62")	false	false
HasDechalaPalaceRitual1	Owner.IsEffectBundleActive("wh3_dlc27_dechala_ritual_palace_1") == true	false	false
HasDechalaPalaceRitual2	Owner.IsEffectBundleActive("wh3_dlc27_dechala_ritual_palace_2") == true	false	false
HasDechalaPalaceRitual3	Owner.IsEffectBundleActive("wh3_dlc27_dechala_ritual_palace_3") == true	false	false
HasDechalaPalaceRitual4	Owner.IsEffectBundleActive("wh3_dlc27_dechala_ritual_palace_4") == true	false	false
HasDechalaPalaceRitual5	Owner.IsEffectBundleActive("wh3_dlc27_dechala_ritual_palace_5") == true	false	false
HasDechalaPalaceRitual6	Owner.IsEffectBundleActive("wh3_dlc27_dechala_ritual_palace_6") == true	false	false
HasDwfConstructionGuildTech	Owner.IsTechnologyResearched("wh_main_tech_dwf_civ_6_2")	false	false
HasDwfToolmakerGuildTech	Owner.IsTechnologyResearched("wh_main_tech_dwf_civ_2_0")	false	false
HasDwfTreasuriesTech	Owner.IsTechnologyResearched("wh_main_tech_dwf_civ_1_0")	false	false
HasDwfWarriorGuildTech	Owner.IsTechnologyResearched("wh_main_tech_dwf_mil_1_3")	false	false
HasFestusUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_nur_festus_buildings")	true	false
HasFinalOgreCampTech	Owner.IsTechnologyResearched("wh3_main_tech_ogr_0_2_0")	false	false
HasFirstDynastyTech	Owner.IsTechnologyResearched("wh2_dlc09_tech_tmb_faction_target_1")	false	false
HasHEFDragonshipRecruitTech	Owner.IsTechnologyResearched("wh3_dlc27_tech_hef_aislinn_6_07")	false	false
HasKSLPortSuppliesTech	Owner.IsTechnologyResearched("wh3_main_tech_ksl_3_13")	false	false
HasKhoCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_kho_shared_gift_upgrade_corruption")	true	false
HasLegendaryGrudgeSkavenComplete	Owner.IsEffectBundleActive("wh3_dlc25_legendary_grudge_skaven_reward") == true	true	false
HasLzdElderTech	Owner.IsTechnologyResearched("wh2_main_tech_lzd_order_6")	false	false
HasLzdGPTech	Owner.IsTechnologyResearched("wh2_main_tech_lzd_0_2")	false	false
HasMarkedHeroesTech	 Owner.IsTechnologyResearched("wh3_dlc20_chs_kho_valkia_heroes_lords") ||  Owner.IsTechnologyResearched("wh3_dlc20_chs_nur_festus_heroes_lords")  || Owner.IsTechnologyResearched("wh3_dlc20_chs_sla_azazel_heroes_lords") || Owner.IsTechnologyResearched("wh3_dlc20_chs_tze_vilitch_heroes_lords")	true	false
HasMoonWoodTech	Owner.IsTechnologyResearched("wh3_main_tech_cth_42")	false	false
HasNORSayl01Tech	Owner.IsTechnologyResearched("wh3_dlc27_tech_nor_ship_faction_sayl_betrayal")	false	false
HasNanGauForgesTech	Owner.IsTechnologyResearched("wh3_main_tech_cth_37") && Region.FactionProvinceManager.PooledResourceContextForKey("wh3_dlc24_cth_province_harmony").Total < 0	false	false
HasNotToZFactoryConclaveSeat	Owner.IsEffectBundleActive("wh3_dlc23_ritual_chd_toz_slot_t2_industry_2") == false	true	false
HasNotUpgradedMegaMortar	Owner.IsEffectBundleActive("wh3_dlc23_ritual_chd_toz_slot_t2_military_2") == false	true	false
HasNurCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_nur_shared_gift_upgrade_corruption")	true	false
HasNurGarrisonAbilityTech	Owner.IsTechnologyResearched("wh3_main_tech_nur_growth_25")	false	false
HasOgreTechButchersApron	Owner.IsTechnologyResearched("wh3_main_tech_ogr_2_10_0")	false	false
HasOgreTechSkyTitanDefences	Owner.IsTechnologyResearched("wh3_main_tech_ogr_2_7_1")	false	false
HasPatron2Tech	Owner.IsTechnologyResearched("wh2_dlc09_tech_tmb_dynasty_2")	false	false
HasPatron4Tech	Owner.IsTechnologyResearched("wh2_dlc09_tech_tmb_dynasty_4")	false	false
HasPatron5Tech	Owner.IsTechnologyResearched("wh2_dlc09_tech_tmb_dynasty_5")	false	false
HasPatron6Tech	Owner.IsTechnologyResearched("wh2_dlc09_tech_tmb_dynasty_6")	false	false
HasSlaCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_sla_shared_gift_upgrade_corruption")	true	false
HasSlaCultTech	Owner.IsTechnologyResearched("wh3_dlc27_tech_sla_delicious_agony")	true	false
HasToZFactoryConclaveSeat	Owner.IsEffectBundleActive("wh3_dlc23_ritual_chd_toz_slot_t2_industry_2") == true	true	false
HasTzeCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_tze_shared_gift_upgrade_corruption")	true	false
HasUndCorruptionTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_und_shared_corruption")	true	false
HasUpgradedMegaMortar	Owner.IsEffectBundleActive("wh3_dlc23_ritual_chd_toz_slot_t2_military_2") == true	true	false
HasValkiaUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_kho_valkia_buildings")	true	false
HasVilitchUpgradeTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_tze_vilitch_buildings")	true	false
HasWoCGenBuildingTech	Owner.IsTechnologyResearched("wh3_dlc20_chs_und_shared_building")	false	false
HasYangKilnTech	Owner.IsTechnologyResearched("wh3_main_tech_cth_27") && Region.FactionProvinceManager.PooledResourceContextForKey("wh3_dlc24_cth_province_harmony").Total > 0	false	false
HostGDPGreaterThan1000	Region.GDP >= 1000	false	false
HostGDPGreaterThan1500	Region.GDP >= 1500	false	false
HostGDPGreaterThan2000	Region.GDP >= 2000	false	false
HostGDPGreaterThan500	Region.GDP >= 500	false	false
HostGDPGreaterThan5000	Region.GDP >= 5000	false	false
IsAgentPresentOwn	Region.IsAnyOwnAgentPresent(Owner) == true	false	false
IsAncientElvenColony	Region.HasResource("res_location_colony") == true	false	false
IsAtamanPresent	Region.IsOwnAgentSubtypePresent("wh3_main_ksl_ataman", Owner)	false	false
IsBretonnia	Owner.CultureKey == "wh_main_brt_bretonnia"	true	false
IsChampionsFaction	Owner.IsInFactionSet("champions_factions")	true	false
IsChaosCampaign	CampaignModelRoot.CampaignKey == "wh3_main_chaos"	true	false
IsChaosCampaignAndKugath	CampaignModelRoot.CampaignKey == "wh3_main_chaos" && Owner.RecordKeyIsOneOf("wh3_main_nur_poxmakers_of_nurgle")	true	false
IsChaosWastesTechResearched	Owner.IsTechnologyResearched("wh3_main_tech_cth_39") && Region.IsEffectBundleActive("wh3_dlc20_climate_uninhabitable_chaotic") == true	true	false
IsDragonshipPresent	Province.IsAgentSubtypePresent("wh3_dlc27_hef_dragonship_captain_01") || Province.IsAgentSubtypePresent("wh3_dlc27_hef_dragonship_captain_02") || Province.IsAgentSubtypePresent("wh3_dlc27_hef_dragonship_captain_03") || Province.IsAgentSubtypePresent("wh3_dlc27_hef_dragonship_captain_04") || Province.IsAgentSubtypePresent("wh3_dlc27_hef_dragonship_captain_05") || Province.IsAgentSubtypePresent("wh3_dlc27_hef_aislinn")	false	false
IsElspethPresent	Region.IsOwnAgentSubtypePresent("wh3_dlc25_emp_elspeth_von_draken", Owner)	false	false
IsElvenColony	Region.HasResource("res_location_colony") == true	false	false
IsFactionAislinn	Owner.RecordKeyIsOneOf("wh3_dlc27_hef_aislinn")	true	false
IsFactionAstragoth	Owner.RecordKeyIsOneOf("wh3_dlc23_chd_astragoth")	true	false
IsFactionAzazel	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_azazel")	true	false
IsFactionAzazelOrSigvald	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_azazel", "wh3_dlc20_chs_sigvald")	true	false
IsFactionClanMoulder	Owner.RecordKeyIsOneOf("wh2_main_skv_clan_moulder")	true	false
IsFactionDrazhoath	Owner.RecordKeyIsOneOf("wh3_dlc23_chd_legion_of_azgorh")	true	false
IsFactionDrycha	Owner.RecordKeyIsOneOf("wh2_dlc16_wef_drycha")	true	false
IsFactionEataine	Owner.RecordKeyIsOneOf("wh2_main_hef_eataine")	true	false
IsFactionFestus	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_festus")	true	false
IsFactionGelt	Owner.RecordKeyIsOneOf("wh2_dlc13_emp_golden_order")	true	false
IsFactionGreasus	Owner.RecordKeyIsOneOf("wh3_main_ogr_goldtooth")	true	false
IsFactionJadeDragon	Owner.RecordKeyIsOneOf("wh3_dlc24_cth_the_celestial_court")	true	false
IsFactionMalus	Owner.RecordKeyIsOneOf("wh2_main_def_hag_graef")	true	false
IsFactionMasque	Owner.RecordKeyIsOneOf("wh3_dlc27_sla_masque_of_slaanesh")	true	false
IsFactionMorathi	Owner.RecordKeyIsOneOf("wh2_main_def_cult_of_pleasure")	true	false
IsFactionMotherOstankya	Owner.RecordKeyIsOneOf("wh3_dlc24_ksl_daughters_of_the_forest")	true	false
IsFactionNotAislinn	Owner.RecordKeyIsOneOf("wh3_dlc27_hef_aislinn") == false	true	false
IsFactionNotDrycha	Owner.RecordKeyIsOneOf("wh2_dlc16_wef_drycha") == false	true	false
IsFactionNotMorathi	Owner.RecordKeyIsOneOf("wh2_main_def_cult_of_pleasure") == false	true	false
IsFactionNotRitual	Owner.RecordKeyIsOneOf("wh2_dlc17_lzd_oxyotl", "wh2_dlc12_lzd_cult_of_sotek") == false	true	false
IsFactionRogueChaos	Owner.RecordKeyIsOneOf("wh2_dlc09_rogue_dwellers_of_zardok", "wh2_main_rogue_abominations", "wh2_dlc11_cst_rogue_the_churning_gulf_raiders", "wh2_main_rogue_hung_warband", "wh3_main_rogue_shadow_legion", "wh3_main_rogue_kurgan_warband", "wh3_main_rogue_the_challenge_stone_pact")	true	false
IsFactionRogueKhorne	Owner.RecordKeyIsOneOf("wh3_main_rogue_doombreeds_followers", "wh3_main_rogue_legion_of_gorehath", "wh3_main_rogue_the_bloody_harvest")	true	false
IsFactionRogueNurgle	Owner.RecordKeyIsOneOf("wh3_main_rogue_scaberaxs_gluttons", "wh3_main_rogue_the_glothal_brood", "wh3_main_rogue_the_putrid_swarm")	true	false
IsFactionRogueSkaven	Owner.RecordKeyIsOneOf("wh2_dlc11_cst_rogue_grey_point_scuttlers", "wh2_main_rogue_morrsliebs_howlers")	true	false
IsFactionRogueSlaanesh	Owner.RecordKeyIsOneOf("wh3_main_rogue_the_baleful_princes_muses", "wh3_main_rogue_the_convent", "wh3_main_rogue_the_pleasure_tide")	true	false
IsFactionRogueTzeentch	Owner.RecordKeyIsOneOf("wh3_main_rogue_scriveners_of_fate", "wh3_main_rogue_argfluxs_pyrocasters", "wh3_main_rogue_the_fluxion_host")	true	false
IsFactionRogueVampiric	Owner.RecordKeyIsOneOf("wh2_dlc11_cst_shanty_shark_straight_seadogs", "wh2_dlc11_cst_rogue_terrors_of_the_dark_straights", "wh2_main_rogue_vmp_heirs_of_mourkain", "wh2_main_rogue_scourge_of_aquitaine", "wh2_main_rogue_the_wandering_dead")	true	false
IsFactionSotek	Owner.RecordKeyIsOneOf("wh2_dlc12_lzd_cult_of_sotek")	true	false
IsFactionTamurkhan	Owner.RecordKeyIsOneOf("wh3_dlc25_nur_tamurkhan")	true	false
IsFactionTeclis	Owner.RecordKeyIsOneOf("wh2_main_hef_order_of_loremasters")	true	false
IsFactionValkia	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_valkia")	true	false
IsFactionVilitch	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_vilitch")	true	false
IsFactionWissenland	Owner.RecordKeyIsOneOf("wh_main_emp_wissenland")	true	false
IsFactionWurrzag	Owner.RecordKeyIsOneOf("wh_main_grn_orcs_of_the_bloody_hand")	true	false
IsFactionYvresse	Owner.RecordKeyIsOneOf("wh2_main_hef_yvresse")	true	false
IsFactionZhatan	Owner.RecordKeyIsOneOf("wh3_dlc23_chd_zhatan")	true	false
IsGeneralPresentEnemy	Region.IsAnyEnemyMilitaryForcePresent(Owner) == true	false	false
IsGeneralPresentInProvince	Province.IsAnyMilitaryForcePresent == true	false	false
IsGeneralPresentOwn	Region.IsOwnMilitaryForcePresent(Owner) == true	false	false
IsImmortalEmpires	CampaignModelRoot.CampaignKey == "wh3_main_combi"	true	false
IsJadeDragonCommercialDistrict	Region.IsEffectBundleActive("wh3_dlc24_ritual_cth_mos_steel_settlement_type_switch_commercial") == true	true	false
IsJadeDragonFortressCity	Region.IsEffectBundleActive("wh3_dlc24_ritual_cth_mos_stone_settlement_type_switch_fortress") == true	true	false
IsKarlFranz	Owner.RecordKeyIsOneOf("wh_main_emp_empire")	true	false
IsKhalida	Owner.RecordKeyIsOneOf("wh2_dlc09_tmb_lybaras")	true	false
IsKholek	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_kholek")	true	false
IsKroqGar	Owner.RecordKeyIsOneOf("wh2_main_lzd_last_defenders")	true	false
IsMasterEngineerNotPresent	Region.IsOwnAgentSubtypePresent("wh_main_dwf_master_engineer") == false && Region.IsOwnAgentSubtypePresent("wh_dlc06_dwf_master_engineer_ghost") == false	false	false
IsMasterEngineerPresent	Region.IsOwnAgentSubtypePresent("wh_main_dwf_master_engineer") || Region.IsOwnAgentSubtypePresent("wh_dlc06_dwf_master_engineer_ghost")	false	false
IsNOTShrineofKhaine	Region.RecordKeyIsOneOf("wh3_main_combi_region_shrine_of_khaine") == false	false	false
IsNOTUniqueRegionOrFort	Region.RecordKeyIsOneOf("wh3_main_chaos_region_altdorf","wh3_main_combi_region_altdorf","wh3_main_combi_region_lothern","wh3_main_combi_region_hexoatl","wh3_main_combi_region_itza","wh3_main_combi_region_khemri","wh3_main_chaos_region_castle_drakenhof","wh3_main_combi_region_castle_drakenhof","wh3_main_combi_region_couronne","wh3_main_combi_region_miragliano","wh3_main_combi_region_naggarond","wh3_main_combi_region_skavenblight","wh3_main_chaos_region_hell_pit","wh3_main_combi_region_hell_pit","wh3_main_combi_region_karaz_a_karak","wh3_main_combi_region_karak_eight_peaks","wh3_main_combi_region_massif_orcal","wh3_main_chaos_region_kislev","wh3_main_combi_region_kislev","wh3_main_chaos_region_praag","wh3_main_combi_region_praag","wh3_main_chaos_region_erengrad","wh3_main_combi_region_erengrad","wh3_main_combi_region_the_awakening","wh3_main_combi_region_sartosa","wh3_main_combi_region_the_galleons_graveyard") == false	true	false
IsNOTUniqueRegionOrFortForEmpire	Region.RecordKeyIsOneOf("wh3_main_chaos_region_altdorf","wh3_main_combi_region_altdorf","wh3_main_combi_region_khemri","wh3_main_chaos_region_castle_drakenhof","wh3_main_combi_region_castle_drakenhof","wh3_main_combi_region_couronne","wh3_main_combi_region_miragliano","wh3_main_combi_region_naggarond","wh3_main_combi_region_skavenblight","wh3_main_chaos_region_hell_pit","wh3_main_combi_region_hell_pit","wh3_main_combi_region_karaz_a_karak","wh3_main_combi_region_karak_eight_peaks","wh3_main_combi_region_massif_orcal","wh3_main_combi_region_the_awakening","wh3_main_combi_region_sartosa","wh3_main_combi_region_the_galleons_graveyard") == false	true	false
IsNotChampionsFaction	Owner.IsInFactionSet("champions_factions") == false	true	false
IsNotChampionsOrSigvaldFaction	Owner.IsInFactionSet("champions_factions") == false && Owner.RecordKeyIsOneOf("wh3_dlc20_chs_sigvald") == false	true	false
IsNotChaosDwarfs	Region.Owner.CultureKey != "wh3_dlc23_chd_chaos_dwarfs"	true	false
IsNotFactionFestus	Owner.RecordKeyIsOneOf("wh3_dlc20_chs_festus") == false	true	false
IsNotKroqGar	Owner.RecordKeyIsOneOf("wh2_main_lzd_last_defenders") == false	true	false
IsOwnerNorsca	Region.Owner.CultureKey == "wh_dlc08_nor_norsca"	true	false
IsOwnershipProductGotrekFelixUnlocked	Owner.IsOwnershipProductUnlocked("TW_WH2_GOTREK_FELIX") == true	true	false
IsOwnershipProductTidesOfTormentNorscaUnlocked	Owner.IsOwnershipProductUnlocked("TW_WH3_TIDES_OF_TORMENT_NOR") == true	true	false
IsOwnershipProductTidesOfTormentSlaaneshUnlocked	Owner.IsOwnershipProductUnlocked("TW_WH3_TIDES_OF_TORMENT_SLA") == true	true	false
IsOxyotl	Owner.RecordKeyIsOneOf("wh2_dlc17_lzd_oxyotl")	true	false
IsRegionBeastmen	Region.Owner.CultureKey == "wh_dlc03_bst_beastmen"	true	false
IsRegionChaosDwarfs	Region.Owner.CultureKey == "wh3_dlc23_chd_chaos_dwarfs"	true	false
IsRegionKarakEightPeaks	Region.RecordKeyIsOneOf("wh3_main_combi_region_karak_eight_peaks") == true	false	false
IsRegionNorChdChs	Region.Owner.CultureKey == "wh_dlc08_nor_norsca" || Region.Owner.CultureKey == "wh3_dlc23_chd_chaos_dwarfs" || Region.Owner.CultureKey == "wh_main_chs_chaos"	true	false
IsRegionNorsca	Region.Owner.CultureKey == "wh_dlc08_nor_norsca"	false	false
IsRegionNotAbandoned	Region.IsAbandoned == false	true	false
IsRegionNotPort	Region.IsPort == false	false	false
IsRegionNotTombKing	Region.Owner.CultureKey != "wh2_dlc09_tmb_tomb_kings"	true	false
IsRegionNotVampireCoast	Region.Owner.CultureKey != "wh2_dlc11_cst_vampire_coast"	true	false
IsRegionPort	Region.IsPort == true	false	false
IsRegionProvinceCapital	Region.IsProvinceCapital == true	false	false
IsRegionSkavenblight	Region.RecordKeyIsOneOf("wh3_main_combi_region_skavenblight") == true	false	false
IsRegionTombKing	Region.Owner.CultureKey == "wh2_dlc09_tmb_tomb_kings"	true	false
IsRegionVampireCoast	Region.Owner.CultureKey == "wh2_dlc11_cst_vampire_coast"	true	false
IsRegionVampireCounts	Region.Owner.CultureKey == "wh_main_vmp_vampire_counts"	true	false
IsRegionZharrNaggrund	Region.RecordKeyIsOneOf("wh3_main_chaos_region_zharr_naggrund", "wh3_main_combi_region_zharr_naggrund") == true	false	false
IsSPChaosCampaign	CampaignModelRoot.CampaignKey == "wh3_main_chaos" && CampaignModelRoot.IsMultiplayer == false	true	false
KSLHasDevotion	Owner.ModelPooledResourceContext("wh3_main_ksl_devotion")	true	false
KSLHasSupporters	Owner.ModelPooledResourceContext("wh3_main_ksl_followers")	true	false
KhorneCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total >= 100	false	false
KhorneCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total >= 50	false	false
KhorneCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total >= 75	false	false
KhorneCorruptionLessThan50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_khorne").Total < 50	false	false
KislevHasOrthodoxyGrowthBoon	Owner.IsEffectBundleActive("wh3_main_ksl_support_orthodoxy_magic_1_2") == true	false	false
KislevHasSettlementAdjacencyBoon	Owner.IsEffectBundleActive("wh3_main_ksl_support_orthodoxy_settlement_2_2") == true	false	false
KislevHasSettlementResearchBoon	Owner.IsEffectBundleActive("wh3_main_ksl_support_ice_court_settlement_1_2") == true	false	false
MaxAllegianceAllChampionsRejected	Owner.IsEffectBundleActive("wh3_dlc27_bundle_nor_allegiance_ultimate_refusal")  == true	true	false
MinorCultCabalPower1_1	true	false	false
MinorCultCabalPower1_2	true	false	false
MinorCultCabalPower1_3	true	false	false
MinorCultCabalPower1_4	true	false	false
MinorCultCabalPower1_5	true	false	false
MinorCultCabalPower1_6	true	false	false
MinorCultCabalPower1_7	true	false	false
MinorCultCabalPower1_8	true	false	false
MinorCultCabalPower1_9	true	false	false
MinorCultCabalPower2	false	false	false
MinorCultCabalPower2_On	true	false	false
MinorCultCabalPower3	false	false	false
MinorCultCabalPower3_On	true	false	false
MinorCultCabalPower4	false	false	false
MinorCultCabalPower4_On	true	false	false
MinorCultCabalPower5	false	false	false
MinorCultCabalPower5_On	true	false	false
MountainClimate	Region.IsEffectBundleActive("wh3_dlc20_climate_suitable_mountain") == true	false	false
MountainClimatePresent	Region.IsEffectBundleActive("wh3_dlc20_climate_suitable_mountain") == true	false	false
NORCrowTier1	Owner.ModelPooledResourceContext("nor_progress_crow").Total < 5	true	false
NORCrowTier2	Owner.ModelPooledResourceContext("nor_progress_crow").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_crow").Total < 10	true	false
NORCrowTier3	Owner.ModelPooledResourceContext("nor_progress_crow").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_crow").Total < 15	true	false
NORCrowTier4	Owner.ModelPooledResourceContext("nor_progress_crow").Total >=15	true	false
NOREagleTier1	Owner.ModelPooledResourceContext("nor_progress_eagle").Total < 5	true	false
NOREagleTier2	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_eagle").Total < 10	true	false
NOREagleTier3	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_eagle").Total < 15	true	false
NOREagleTier4	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >=15	true	false
NORHoundTier1	Owner.ModelPooledResourceContext("nor_progress_hound").Total < 5	true	false
NORHoundTier2	Owner.ModelPooledResourceContext("nor_progress_hound").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_hound").Total < 10	true	false
NORHoundTier3	Owner.ModelPooledResourceContext("nor_progress_hound").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_hound").Total < 15	true	false
NORHoundTier4	Owner.ModelPooledResourceContext("nor_progress_hound").Total >=15	true	false
NORSaylTier1	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 4	true	false
NORSaylTier2	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >= 4 && Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 10	true	false
NORSaylTier3	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >= 10 && Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 18	true	false
NORSaylTier4	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >= 18 && Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total < 30	true	false
NORSaylTier5	Owner.ModelPooledResourceContext("wh3_dlc27_nor_sayl_dark_ritual").Total >=30	true	false
NORSerpentTier1	Owner.ModelPooledResourceContext("nor_progress_serpent").Total < 5	true	false
NORSerpentTier2	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >= 5 && Owner.ModelPooledResourceContext("nor_progress_serpent").Total < 10	true	false
NORSerpentTier3	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >= 10 && Owner.ModelPooledResourceContext("nor_progress_serpent").Total < 15	true	false
NORSerpentTier4	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >=15	true	false
NeglectedIceCourt	Owner.IsEffectBundleActive("wh3_main_ksl_ice_court_neglect") == true	false	false
