unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
wh2_dlc09_tmb_cav_necropolis_knights_1		0	monstrous_cavalry	2	false	wh2_dlc09_tmb_cav_necropolis_knights_1	24	0	1575	wh_main_shp_transport	1	1	24	0	0	medium		0	820981901	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_halberd	4	false	tmb_necro_knights		false		1575.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_necropolis_knights_ror		1	monstrous_cavalry	2	false	wh2_dlc09_tmb_cav_necropolis_knights_ror	24	1	1675	wh_main_shp_transport	1	1	24	0	0	medium		0	1013496807	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	4	false	tmb_necro_knights		false		1675.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_cav_nehekhara_horsemen_0		0	melee_cavalry	1	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	60	0	650	wh_main_shp_transport	1	1	60	0	0	heavy		0	787952245	true	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	2	false	emp_reiksguard		false		650.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror		1	melee_cavalry	1	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	60	1	900	wh_main_shp_transport	1	1	60	0	0	heavy		0	960966772	true	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	2	false	emp_reiksguard		false		1000.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_cav_skeleton_horsemen_0		0	melee_cavalry	1	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	60	0	400	wh_main_shp_transport	1	1	60	0	0	medium		0	1000222117	true	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_spear_skeleton	1	false	emp_reiksguard		false		400.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0		0	missile_cavalry	1	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	60	0	475	wh_main_shp_transport	1	1	60	0	0	medium		0	374470454	true	wh2_dlc09_vo_culture_Tomb_Kings	missile_cavalry_bow_skeleton	1	false	emp_reiksguard		false		100.0000	400.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	5	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cha_arkhan_0		-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_0	1	0	900	wh_main_shp_transport	1	1	1	0	0	medium		0	1202105519	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	0	true	tmb_general		true		1100.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_arkhan_1		-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_1	1	0	1080	wh_main_shp_transport	1	1	1	0	0	medium		0	700391768	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		1000.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_arkhan_2		-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_2	6	0	1260	wh_main_shp_transport	1	1	1	0	0	heavy		0	2075660816	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_arkhan_chariot	true		1400.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khalida_0		-1	lord	1	false	wh2_dlc09_tmb_cha_khalida_0	1	0	1100	wh_main_shp_transport	1	1	1	0	0	medium		0	1864659176	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	0	true	tmb_general		true		1100.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khalida_1		-1	lord	1	false	wh2_dlc09_tmb_cha_khalida_1	1	0	1550	wh_main_shp_transport	1	1	1	0	0	medium		0	1100194768	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_necroserpent	true		1550.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khalida_2		-1	lord	1	false	wh2_dlc09_tmb_cha_khalida_2	2	0	1350	wh_main_shp_transport	1	1	1	0	0	heavy		0	2145574207	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true		1350.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khatep_0		-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_0	1	0	550	wh_main_shp_transport	1	1	1	0	0	medium		0	1322697392	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general		true		450.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khatep_1		-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_1	1	0	750	wh_main_shp_transport	1	1	1	0	0	medium		0	715548438	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		550.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khatep_2		-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_2	2	0	1000	wh_main_shp_transport	1	1	1	0	0	heavy		0	1694307052	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true		1000.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_khatep_3		-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_3	1	0	1250	wh_main_shp_transport	1	1	1	0	0	heavy		0	387179668	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khatep_casket_of_souls	true		180.0000	1120.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_death_0		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_death_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	205408182	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_death	0	true	tmb_general		true		300.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_death_1		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_death_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	1125638005	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_death_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_light_0		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_light_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	528199630	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_light	0	true	tmb_general		true		300.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_light_1		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_light_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	2004217582	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_light_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	1094399405	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_nehekhara	0	true	tmb_general		true		300.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_nehekhara_1		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	1183035257	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_nehekhara_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_shadow_0		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_shadow_0	1	0	300	wh_main_shp_transport	1	1	1	0	0	medium		0	1003185422	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_shadows	0	true	tmb_general		true		300.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_liche_priest_shadow_1		-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_shadow_1	1	0	500	wh_main_shp_transport	1	1	1	0	0	heavy		0	1389037952	false	wh2_dlc09_vo_culture_Tomb_Kings	wizard_shadows_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		500.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_necrotect_0		-1	hero	1	false	wh2_dlc09_tmb_cha_necrotect_0	1	0	550	wh_main_shp_transport	1	1	1	0	0	medium		0	1865750942	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necrotect	0	true	tmb_general		true		550.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_necrotect_1		-1	hero	1	false	wh2_dlc09_tmb_cha_necrotect_1	2	0	900	wh_main_shp_transport	1	1	1	0	0	heavy		0	942930854	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necrotect	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_basic_chariot	true		900.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_settra_0		-1	lord	1	false	wh2_dlc09_tmb_cha_settra_0	1	0	1450	wh_main_shp_transport	1	1	1	0	0	medium		0	1521492725	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_halberd	0	true	tmb_general		true		1450.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_settra_1		-1	lord	1	false	wh2_dlc09_tmb_cha_settra_1	1	0	1650	wh_main_shp_transport	1	1	1	0	0	medium		0	297888458	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		1650.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_settra_2		-1	lord	1	false	wh2_dlc09_tmb_cha_settra_2	2	0	2200	wh_main_shp_transport	1	1	1	0	0	heavy		0	1162437915	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_settra_chariot	true		2200.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_settra_3		-1	lord	1	false	wh2_dlc09_tmb_cha_settra_3	1	0	2100	wh_main_shp_transport	1	1	1	0	0	very_heavy		0	1607638015	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true		2100.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	true	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_king_0		-1	lord	1	false	wh2_dlc09_tmb_cha_tomb_king_0	1	0	1100	wh_main_shp_transport	1	1	1	0	0	medium		0	406836789	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	0	true	tmb_general		true		1100.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_king_1		-1	lord	1	false	wh2_dlc09_tmb_cha_tomb_king_1	1	0	1300	wh_main_shp_transport	1	1	1	0	0	medium		0	1507365995	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		1300.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_king_2		-1	lord	1	false	wh2_dlc09_tmb_cha_tomb_king_2	2	0	1350	wh_main_shp_transport	1	1	1	0	0	heavy		0	1548017614	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true		1350.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_king_3		-1	lord	1	false	wh2_dlc09_tmb_cha_tomb_king_3	1	0	2000	wh_main_shp_transport	1	1	1	0	0	very_heavy		0	1768496524	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true		2000.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	true	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_prince_0		-1	hero	1	false	wh2_dlc09_tmb_cha_tomb_prince_0	1	0	700	wh_main_shp_transport	1	1	1	0	0	medium		0	315043698	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_tomb_prince	0	true	tmb_general		true		700.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_prince_1		-1	hero	1	false	wh2_dlc09_tmb_cha_tomb_prince_1	1	0	900	wh_main_shp_transport	1	1	1	0	0	medium		0	862421646	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_tomb_prince	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		900.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_tomb_prince_2		-1	hero	1	false	wh2_dlc09_tmb_cha_tomb_prince_2	2	0	950	wh_main_shp_transport	1	1	1	0	0	heavy		0	1598249099	false	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_tomb_prince	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_basic_chariot	true		950.0000	0.0000	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince	0	true	false	2	false	false		0.0000	false	1	false
wh2_dlc09_tmb_inf_crypt_ghouls		0	melee_infantry	1	false	wh2_dlc09_tmb_inf_crypt_ghouls	120	0	525	wh_main_shp_transport	1	1	120	0	0	heavy		0	593980425	true	wh2_dlc09_vo_culture_Tomb_Kings_Crypt_Ghoul	vmp_crypt_ghouls	2	false	vamp_ghoul		false		600.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_inf_nehekhara_warriors_0		0	melee_infantry	1	false	wh2_dlc09_tmb_inf_nehekhara_warriors_0	120	0	525	wh_main_shp_transport	1	1	120	0	0	heavy		0	1738427373	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword_dual	2	false	tmb_skeleton_warriors		false		525.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_inf_nehekhara_warriors_ror		1	melee_infantry	1	false	wh2_dlc09_tmb_inf_nehekhara_warriors_ror	120	1	950	wh_main_shp_transport	1	1	120	0	0	heavy		0	2011215922	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword_dual	2	false	tmb_skeleton_warriors		false	_drum	950.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_inf_skeleton_archers_0		0	missile_infantry	1	false	wh2_dlc09_tmb_inf_skeleton_archers_0	120	0	475	wh_main_shp_transport	1	1	120	0	0	light		0	2036732321	true	wh2_dlc09_vo_culture_Tomb_Kings	missile_infantry_bow	1	false	tmb_tomb_guard		false		48.0000	432.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_inf_skeleton_archers_ror		1	missile_infantry	1	false	wh2_dlc09_tmb_inf_skeleton_archers_ror	120	1	675	wh_main_shp_transport	1	1	120	0	0	light		0	575745065	true	wh2_dlc09_vo_culture_Tomb_Kings	missile_infantry_bow	2	false	tmb_tomb_guard		false		75.0000	600.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_inf_skeleton_spearmen_0		-1	melee_infantry	1	false	wh2_dlc09_tmb_inf_skeleton_spearmen_0	160	0	325	wh_main_shp_transport	1	1	160	0	0	heavy		0	850192950	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_spear	1	false	tmb_skeleton_warriors		false		325.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_inf_skeleton_spearmen_ror		1	melee_infantry	1	false	wh2_dlc09_tmb_inf_skeleton_spearmen_ror	160	1	550	wh_main_shp_transport	1	1	160	0	0	heavy		0	1568358644	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_spear	2	false	tmb_skeleton_warriors		false		550.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_inf_skeleton_warriors_0		-1	melee_infantry	1	false	wh2_dlc09_tmb_inf_skeleton_warriors_0	160	0	300	wh_main_shp_transport	1	1	160	0	0	heavy		0	1786460614	true	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword	1	false	tmb_skeleton_warriors		false		300.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
