key	unit_attribute	unit_set
ogr_bull_ironguts_unyielding_assault	unyielding_assault	ogr_bull_irongut
perfect_vigour_chd_kdaai	fatigue_immune	wh3_dlc23_chd_category_kdaai
perfect_vigour_death_hags_witch_elves	fatigue_immune	wh2_def_death_hag_and_witch_elf
perfect_vigour_def_assassins	fatigue_immune	def_assassins
perfect_vigour_def_executioners	fatigue_immune	def_executioners
perfect_vigour_goblin_hewer	fatigue_immune	dwf_goblin_hewer
perfect_vigour_hellebron	fatigue_immune	wh2_dlc10_def_cha_hellebron
perfect_vigour_sisters_of_slaughter	fatigue_immune	def_sisters_of_slaughter
perfect_vigour_skeletons_0	fatigue_immune	vmp_unit_skeletons_0
perfect_vigour_skeletons_1	fatigue_immune	vmp_unit_skeletons_1
perfect_vigour_wh_dlc04_vmp_inf_konigstein_stalkers_0	fatigue_immune	wh_dlc04_vmp_inf_konigstein_stalkers_0
pump_wagon_perfect_vigour	fatigue_immune	wh2_dlc15_grn_veh_snotling_pump_wagon_all
rampage_chd_centaur_taurus	rampage	wh3_dlc23_chd_category_bull_centaurs
rampage_chd_hobgoblins	rampage	wh3_dlc23_chd_hobgoblin_units
rampage_chd_kdaai	rampage	wh3_dlc23_chd_category_kdaai
rampage_chd_warmachines_arty	rampage	wh3_dlc23_chd_category_warmachines
spell_mastery_chd_kdaai	spell_mastery	wh3_dlc23_chd_category_kdaai
stalk_chd_flying_monsters	stalk	wh3_dlc23_chd_category_flying_beasts
stalk_chd_missile_inf	stalk	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
stalk_lokhir_unmounted	guerrilla_deploy	lokhir_unmounted
strider_chd_hobgoblins	strider	wh3_dlc23_chd_hobgoblin_units
strider_chd_kdaai	strider	wh3_dlc23_chd_category_kdaai
terror_chd_centaur	causes_terror	wh3_dlc23_chd_category_bull_centaurs
terror_chd_taurus	causes_terror	wh3_dlc23_chd_category_taurus
tmb_chariots_glorious_charge	glorious_charge	wh2_dlc09_tmb_chariots
unbreakable_chd_kdaai	unbreakable	wh3_dlc23_chd_category_kdaai
unbreakable_dwf_gyro_units	unbreakable	dwf_gyros
vanguard_chd_centaur_taurus	guerrilla_deploy	wh3_dlc23_chd_category_bull_centaurs
vanguard_chd_kdaai	guerrilla_deploy	wh3_dlc23_chd_category_kdaai
vanguard_chd_mis_inf	guerrilla_deploy	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
vanguard_chd_taurus_lammasu	guerrilla_deploy	wh3_dlc23_chd_category_flying_beasts
vanguard_dwf_gyrocopters	guerrilla_deploy	dwf_gyrocopters
vanguard_lokhir_unmounted	stalk	lokhir_unmounted
vanguard_slaanesh_units	guerrilla_deploy	wh3_dlc20_chs_slaanesh_marked_units
vanguard_zombies	guerrilla_deploy	vmp_zombies
wh2_dlc09_tmb_chariots_guerilla_deploy	guerrilla_deploy	wh2_dlc09_tmb_chariots
wh2_dlc11_cst_monsters_guerilla_deploy	guerrilla_deploy	wh2_dlc11_cst_rite_vanguard_monsters
wh2_dlc12_effect_attribute_expendable_skv_clanrats	expendable	skv_clanrats
wh2_dlc12_skaven_doomflayer_character_stalker	stalk	wh2_dlc12_skv_cha_doomflayer
wh2_dlc12_skaven_doomflayer_vanguard_deployment	guerrilla_deploy	wh2_dlc12_skv_doomflayers
wh2_dlc12_skaven_doomwheel_character_perfect_vigour	fatigue_immune	wh2_dlc12_skv_cha_doomwheel
wh2_dlc12_skaven_doomwheel_strider	strider	skv_doomwheel
wh2_dlc12_skaven_jezzail_stalker	stalk	wh2_dlc12_skv_jezzail
wh2_dlc13_effect_unit_kroxigors_attribute_terror	causes_terror	lzd_kroxigor
wh2_dlc13_saurus_temple_guard_charge_defence	charge_defense	lzd_saurus_templeg
wh2_dlc13_saurus_temple_guard_unbreakable	unbreakable	lzd_saurus_templeg
wh2_dlc14_effect_stormvermin_enable_attribute_encourage	encourages	skv_stormvermin
wh2_dlc14_effect_stormvermin_enable_attribute_immpsy	immune_to_psychology	skv_stormvermin
wh2_dlc14_malus_skill_stalk	stalk	wh2_dlc14_def_cha_malus
wh2_dlc14_skv_cause_fear_posion_wind_globaldier	causes_fear	wh2_dlc14_skv_poison_wind_globaldier_death_globe
wh2_dlc14_skv_warp_grinder_expendable	expendable	wh2_dlc14_skv_warp_grinder
wh2_dlc14_skv_warp_grinder_vanguard	guerrilla_deploy	wh2_dlc14_skv_warp_grinder
wh2_dlc14_tzarkan_skill_terror	causes_terror	wh2_dlc14_def_cha_tzarkan
wh2_dlc15_cause_fear_goblin_inf	causes_fear	grn_infantry_goblin
wh2_dlc15_effect_attribute_stalk_hef_mistwalkers	stalk	wh2_dlc15_mistwalkers
wh2_dlc15_expendable_goblins	expendable	grn_infantry_goblin
wh2_dlc15_grn_vanguard_deployment_boyz_big_uns	guerrilla_deploy	wh2_dlc15_grn_all_boyz_and_big_uns
wh2_dlc15_immune_to_psychology_orc_cav	immune_to_psychology	grn_cav_orc
wh2_dlc15_immune_to_psychology_savage_orc_cav	immune_to_psychology	grn_dlc06_savage_orc_riders
wh2_dlc15_perfect_vigour_grn_chariots	fatigue_immune	grn_chariots
wh2_dlc15_perfect_vigour_pumpwagons	fatigue_immune	wh2_dlc15_grn_veh_snotling_pump_wagon_all
wh2_dlc15_rampage_squig_herds	rampage	grn_dlc06_squigs
wh2_dlc16_attribute_enable_expendable	expendable	all_units
wh2_dlc16_cause_fear_wef_elves	causes_fear	wef_dlc05_wood_elf_elf_units
wh2_dlc16_effect_enable_attribute_cause_fear_hawk_riders	causes_fear	wef_dlc05_hawk_riders
wh2_dlc16_effect_enable_attribute_cause_terror_for_glade_captain_on_eagle	causes_terror	wh2_twa02_wef_glade_captain_eagle
wh2_dlc16_effect_enable_attribute_guerilla_deployment_wildwood_rangers	guerrilla_deploy	wef_dlc05_wildwood_rangers
wh2_dlc16_effect_enable_attribute_stalk_glade_guard	stalk	wef_dlc05_glade_guard
wh2_dlc16_effect_enable_attribute_stalk_unmounted_glade_captain	stalk	wh2_twa02_wef_glade_captain_unmounted
wh2_dlc16_effect_enable_attribute_strider_for_glade_captain_on_mount	strider	wh2_twa02_wef_glade_captain_horse_stag
wh2_dlc16_effect_enable_attribute_strider_wef_cavalry	strider	wef_dlc05_wood_elf_cavalry
wh2_dlc16_effect_enable_vanguard_deployment_wardancers	guerrilla_deploy	wef_dlc05_wardancers
wh2_dlc16_effect_expert_charge_defence_eternal_guard	charge_defense	wef_dlc05_eternal_guard
wh2_dlc16_effect_perfect_vigour_sisters_of_the_thorn	fatigue_immune	wef_dlc05_wood_elf_sisters_thorn
wh2_dlc16_effect_snipe_missile_infantry	snipe	infantry_units_missile
wh2_dlc16_effect_unit_enable_attribute_expert_charge_defence_empire_halberds	charge_defense	emp_halberds_no_demigryph
wh2_dlc16_expendable_wef_elves	expendable	wef_dlc05_wood_elf_elf_units
wh2_dlc16_flying_guerilla_deploy	guerrilla_deploy	flying_units
wh2_dlc16_immune_to_psychology_elf_units	immune_to_psychology	wef_dlc05_wood_elf_elf_units
wh2_dlc16_stalk_drycha_beasts	stalk	wh2_dlc16_wef_drycha_wolves_spiders
wh2_dlc16_stalk_treekin	stalk	wh_dlc05_wef_mon_treekin
wh2_dlc16_stalk_wardancers	stalk	wef_dlc05_wardancers
wh2_dlc17_effect_attribute_stalk_khazrak_focus_units	stalk	wh2_dlc11_bst_ungor_gor_bestigor
wh2_dlc17_effect_attribute_stalk_khazrak_focus_units_2	stalk	wh2_dlc11_bst_warhounds_razorgor_herd_harpies
wh2_dlc17_effect_enable_attribute_cause_fear_bst_tuskgor_chariots	causes_fear	wh2_dlc17_bst_unit_cap_tuskgor_chariots
wh2_dlc17_effect_enable_attribute_cause_fear_bst_wargor_chariot_mounts	causes_fear	wh2_dlc17_bst_wargor_chariot_mounts
wh2_dlc17_effect_enable_attribute_cause_fear_bst_warhounds_harpies	causes_fear	wh2_dlc17_bst_warhounds_harpies
wh2_dlc17_effect_enable_attribute_cause_terror_bst_minotaurs_units	causes_terror	bst_dlc03_minotaurs
wh2_dlc17_effect_enable_attribute_cause_terror_bst_razorgor_chariots	causes_terror	wh2_dlc17_bst_unit_cap_razorgor_chariots
wh2_dlc17_effect_enable_attribute_cause_terror_bst_wargor_chariot_mounts	causes_terror	wh2_dlc17_bst_wargor_chariot_mounts
wh2_dlc17_effect_enable_attribute_cause_terror_throgg_units	causes_terror	wh2_dlc17_throgg_focus_units
wh2_dlc17_effect_enable_attribute_encourage_bst_bestigors	encourages	bst_dlc03_bestigors
wh2_dlc17_effect_enable_attribute_fire_while_moving_gyrocopters	mounted_fire_move	dwf_gyrocopters_excluding_burst_projecitles
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_bestigors	guerrilla_deploy	bst_dlc03_bestigors
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_chariot_units	guerrilla_deploy	wh2_dlc17_bst_unit_cap_razorgor_chariots
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_chariot_mounts	guerrilla_deploy	wh2_dlc17_bst_wargor_chariot_mounts
wh2_dlc17_effect_enable_attribute_vanguard_deployment_bst_wargor_unmounted	guerrilla_deploy	wh2_dlc17_bst_wargor_unmounted
wh2_dlc17_effect_enable_fear_harpies	causes_fear	wh2_dlc17_bst_unit_cap_harpies
wh2_dlc17_snipe_chameleon_skink_skirmishers	snipe	lzd_chameleon_skink_skirmishers
wh2_dlc17_snipe_rangers	snipe	dwf_dlc06_rangers
wh2_dlc17_stalk_all_skinks	stalk	lzd_skinks
wh2_dlc17_unspottable_chameleon_stalkers	unspottable	lzd_chameleon_skink_stalkers
wh2_dlc17_vanguard_minotaurs	guerrilla_deploy	bst_dlc03_minotaurs
wh2_dlc17_vanguard_skinks	guerrilla_deploy	lzd_skinks
wh2_dlc25_effect_enable_attribute_cause_terror_cavalry_chariot	causes_terror	cavalry_chariots
wh2_main_grn_goblin_guerilla_deploy	guerrilla_deploy	grn_infantry_goblin
wh2_main_hef_moranions_wayshard	guerrilla_deploy	wh2_main_hef_moranions_wayshard
wh2_twa03_stalk_cold_ones	stalk	feral_cold_ones_def_cold_one_riders
wh2_twa03_vanguard_corsairs	guerrilla_deploy	def_corsairs
wh3_dlc20_cause_fear_rank_4_chs_great_weapons	causes_fear	wh3_dlc20_chs_great_weapon_units_rank_4
wh3_dlc20_effect_attribute_devastating_flanker_chaos_chariots	devastating_flanker	merc_set_chs_chariot_sla
wh3_dlc20_effect_attribute_fear_chosen_und	causes_fear	chosen_und
wh3_dlc20_effect_attribute_fear_forsaken	causes_fear	merc_set_chs_forsaken_spawn_und
wh3_dlc20_effect_attribute_fear_terror_aspiring_champions	causes_fear	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_immpsy_aspiring_champions	immune_to_psychology	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_perfect_vigour_aspiring_champions	fatigue_immune	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_perfect_vigour_chosen	fatigue_immune	chs_chosen
wh3_dlc20_effect_attribute_perfect_vigour_chosen_und	fatigue_immune	chosen_und
wh3_dlc20_effect_attribute_perfect_vigour_forsaken	fatigue_immune	chs_forsaken
wh3_dlc20_effect_attribute_strider_aspiring_champions	strider	wh3_dlc20_chs_aspiring_champions_only
wh3_dlc20_effect_attribute_vanguard_chosen	guerrilla_deploy	chs_chosen
wh3_dlc20_effect_attribute_vanguard_marauders	guerrilla_deploy	wh3_dlc20_chs_marauders_inf_only
wh3_dlc20_effect_attribute_vanguard_slaanesh_chariots	guerrilla_deploy	merc_set_chs_chariot_sla
wh3_dlc20_effect_attribute_vanguard_warriors	guerrilla_deploy	chs_warriors
wh3_dlc20_expendable_marauder_horsemen	expendable	wh3_dlc20_marauder_horsemen_all
wh3_dlc20_expendable_marauders	expendable	wh3_dlc20_chs_marauders_inf_only
wh3_dlc20_expert_charge_defence_chs_spear_halberds_rank_4	charge_defense	wh3_dlc20_chs_spear_halberd_units_rank_4
wh3_dlc20_ogre_charge_knights_mkho	ogre_charge	chs_knights_mkho
wh3_dlc20_ogre_charge_skullcrushers	ogre_charge	wh3_main_kho_cav_skullcrushers_0
wh3_dlc20_strider_cav_chariots_msla	strider	cav_chariots_msla
wh3_dlc20_terror_chaos_spawn	causes_terror	wh3_dlc20_chs_chaos_spawn_all
wh3_dlc20_vanguard_chaos_knights	guerrilla_deploy	wh3_dlc20_chs_chaos_knights
wh3_dlc20_vanguard_juggernauts	guerrilla_deploy	wh3_dlc20_chs_juggernauts
wh3_dlc23_charge_defence_large_chd_warriors	charge_defense_vs_large	wh3_dlc23_chd_warriors
wh3_dlc23_charge_reflection_chd_infernal_guard	charge_reflection	wh3_dlc23_chd_infernal_guard
wh3_dlc23_effect_attribute_enable_immune_to_psychology_infernal	immune_to_psychology	wh3_dlc23_chd_infernal_guard_infernal_ironsword
wh3_dlc23_effect_attribute_enable_strider_chd_war_machines	strider	wh3_dlc23_chd_category_warmachines
wh3_dlc23_effect_attribute_enable_vanguard_deployment_chd_war_machines	guerrilla_deploy	wh3_dlc23_chd_category_warmachines
wh3_dlc23_effect_attribute_fear_chd_artillery	causes_fear	wh3_dlc23_chd_hellcannon
wh3_dlc23_effect_attribute_fear_chd_warmachines	causes_fear	wh3_dlc23_chd_category_warmachines
wh3_dlc23_effect_attribute_perfect_vigour_chd_bull_centaur_renders	fatigue_immune	wh3_dlc23_chd_category_bull_centaurs_rank7
wh3_dlc23_effect_attribute_perfect_vigour_chd_bull_centaur_renders_ror	fatigue_immune	wh3_dlc23_chd_category_bull_centaurs_rank7_ror
wh3_dlc23_effect_attribute_perfect_vigour_chd_infernal_guard	fatigue_immune	wh3_dlc23_chd_all_melee_infernal
wh3_dlc23_effect_attribute_snipe_hobgoblins	snipe	wh3_dlc23_chd_hobgoblin_ranged_units
wh3_dlc23_effect_attribute_terror_chd_artillery	causes_terror	wh3_dlc23_chd_hellcannon
wh3_dlc23_effect_attribute_terror_chd_warmachines	causes_terror	wh3_dlc23_chd_category_warmachines
wh3_dlc23_effect_attribute_vanguard_chd_bull_centaurs	guerrilla_deploy	wh3_dlc23_chd_category_bull_centaurs
wh3_dlc23_effect_attribute_vanguard_chd_hobgoblin_units	guerrilla_deploy	wh3_dlc23_chd_hobgoblin_units
wh3_dlc23_effect_enable_attribute_immpsy_hobgoblins	immune_to_psychology	wh3_dlc23_chd_hobgoblin_units
wh3_dlc23_effect_enable_attribute_stalk_hobgoblins	guerrilla_deploy	wh3_dlc23_chd_hobgoblin_units_and_gorduz
wh3_dlc23_effect_enable_attribute_vanguard_deployment_hobgoblins	stalk	wh3_dlc23_chd_hobgoblin_units_and_gorduz
wh3_dlc23_expert_charge_defence_chd_infernal_ironsworn	charge_defense	wh3_dlc23_chd_infernal_ironsworn
wh3_dlc23_immune_to_psychology_hobgoblins	immune_to_psychology	wh3_dlc23_chd_hobgoblin_units
wh3_dlc23_immune_to_psychology_kislev	immune_to_psychology	wh3_main_ksl_all
wh3_dlc24_effect_attribute_enable_360_missile_block_cth_lord_magistrate_sky_lantern_mount	can_block_missiles_360	wh3_main_cth_cha_lord_magistrate_2
wh3_dlc24_effect_attribute_enable_360_missile_block_cth_war_compass	can_block_missiles_360	wh3_main_cth_veh_war_compass_units
wh3_dlc24_effect_attribute_mastery_of_the_winds_jade_lions	spell_mastery	wh3_dlc24_cth_mon_jade_lion
wh3_dlc24_effect_attribute_strider_marauder_infantry	strider	dlc08_nor_marauders_all
wh3_dlc24_effect_attribute_terror_tze_horrors	causes_terror	tze_blue_pink_horrors
wh3_dlc24_effect_enable_attribute_strider_cth_peasants	strider	wh3_main_cth_peasant_all
wh3_dlc24_effect_force_attribute_enable_terror_ostankya_spiders	causes_terror	wh3_dlc24_ostankya_spiders
wh3_dlc24_effect_force_attribute_stalk_things_in_the_woods	stalk	wh3_dlc24_ksl_mon_the_things_in_the_woods
wh3_dlc24_effect_force_attribute_stalk_things_in_the_woods_1	stalk	wh3_dlc24_ksl_mon_incarnate_elemental_of_beasts
wh3_dlc24_effect_unit_enable_attribute_expert_charge_defence_terracotta_sentinal	charge_defense	wh3_main_cth_mon_terracotta_sentinel_0
wh3_dlc24_effect_unit_enable_spell_mastery_hag_witches	spell_mastery	wh3_dlc24_ksl_heroes_hags
wh3_dlc24_ksl_tzar_guard_enable_immune_to_psychology	immune_to_psychology	ksl_ice_guard_tzar_guard
wh3_dlc24_snipe_akshina_ambushers	snipe	wh3_dlc24_ksl_inf_akshina_ambushers
wh3_dlc25_cavalry	strider	cavalry_units
wh3_dlc25_charge_reflection_dwf_gw	charge_reflection	dwf_great_weapon_infantry
wh3_dlc25_effect_attribute_enable_ballistic_plating_steam_tank	ballistic_plating	emp_steam_tank
wh3_dlc25_effect_attribute_enable_causes_terror_plague_ogre	causes_terror	wh3_dlc25_nur_inf_plague_ogres
wh3_dlc25_effect_attribute_enable_encourage_dwf_hammerers_rank7	encourages	dwf_hammerers_rank_7
wh3_dlc25_effect_attribute_enable_encourage_dwf_hammerers_ror_rank7	encourages	dwf_hammerers_ror_rank_7
wh3_dlc25_effect_attribute_enable_immune_to_psychology_fireglaives	immune_to_psychology	wh3_dlc25_nur_chieftains_infernal_guard_fireglaives
wh3_dlc25_effect_attribute_enable_strider_emp_vehicles	strider	emp_warmachines
wh3_dlc25_effect_attribute_enable_terror_amethyst_outrider	causes_terror	wh3_dlc25_emp_cav_outrider_morr
wh3_dlc25_effect_attribute_enable_terror_demigryph	causes_terror	emp_demigryphs
wh3_dlc25_effect_attribute_enable_unbreakable_nur_toad_dragon	unbreakable	wh3_dlc25_nur_mon_toad_dragon
wh3_dlc25_effect_attribute_enable_vanguard_deployment_emp_vehicles	guerrilla_deploy	emp_warmachines
wh3_dlc25_effect_enable_attribute_cause_fear_gyrocopter_brimstone	causes_fear	mp_cap_unit_dwf_veh_gyrocopter_1
wh3_dlc25_effect_enable_attribute_strider_dwf_slayers	strider	dwf_slayers
wh3_dlc25_effect_enable_attrtibute_encourage_emp_steam_luminark_land_ship	encourages	emp_steam_luminark_land_ship
wh3_dlc25_effect_force_ability_devastating_flanker_emp_reiksguard	devastating_flanker	emp_reiksguard
wh3_dlc25_effect_unit_enable_attribute_expert_charge_defence_nur_infantry_daemonic	charge_defense	nur_infantry_daemonic
wh3_dlc25_emp_art_helstorm_rocket_battery_morr_fatigue_immune	fatigue_immune	wh3_dlc25_emp_art_helstorm_rocket_battery_morr
wh3_dlc25_emp_cav_outrider_morr_stalk	stalk	wh3_dlc25_emp_cav_outrider_morr
wh3_dlc25_emp_cav_outrider_morr_unspottable	unspottable	wh3_dlc25_emp_cav_outrider_morr
wh3_dlc25_emp_wizards_spell_mastery	spell_mastery	emp_wizards
wh3_dlc25_enable_fear_characters	causes_fear	characters
wh3_dlc25_enable_terror_all_units	causes_terror	all_units
wh3_dlc25_helblaster_cant_run	cant_run	wh3_dlc25_helblasters
wh3_dlc25_immune_to_psychology_cavalry_chariot	immune_to_psychology	cavalry_chariots
wh3_dlc25_immune_to_psychology_dwf_miners	immune_to_psychology	dwf_miners
wh3_dlc25_immune_to_psychology_mortals	immune_to_psychology	wh3_dlc25_tamurkhan_special
wh3_dlc25_mortors_snipe	snipe	wh3_dlc25_mortors
wh3_dlc25_mortors_stalk	stalk	wh3_dlc25_mortors
wh3_dlc25_nur_chieftains_exalted_hero_melee_infantry_enable_strider	strider	wh3_dlc25_nur_chieftains_exalted_hero_melee_infantry
wh3_dlc25_perfect_vigour_all_slayers	fatigue_immune	dwf_slayers
wh3_dlc25_stalk_dwf_goblin_hewer	stalk	dwf_goblin_hewer
wh3_dlc25_vanguard_dwf_goblin_hewer	guerrilla_deploy	dwf_goblin_hewer
wh3_dlc26_attribute_enable_unbreakable_grn_waaagh_units	unbreakable	wh2_dlc15_grn_waaagh_units
wh3_dlc26_attribute_strider_cavalry_rank7	strider	cavalry_units_rank7
wh3_dlc26_cause_fear_grn_spider_riders_rank7	causes_fear	wh3_dlc26_grn_spider_riders_rank7
wh3_dlc26_cause_fear_grn_spider_riders_rank7_ror	causes_fear	wh3_dlc26_grn_spider_riders_rank7_ror
wh3_dlc26_cause_fear_snagla_and_spider_riders	causes_fear	wh3_dlc26_grn_spider_riders_all
wh3_dlc26_cause_terror_grn_spider_riders_rank7	causes_terror	wh3_dlc26_grn_spider_riders_rank7
wh3_dlc26_cause_terror_grn_spider_riders_rank7_ror	causes_terror	wh3_dlc26_grn_spider_riders_rank7_ror
wh3_dlc26_devastating_flanker_grn_spider_riders_all_snagla	devastating_flanker	wh3_dlc26_grn_spider_riders_all
wh3_dlc26_devastating_flanker_ogr_crushers	devastating_flanker	ogr_crushers
wh3_dlc26_effect_attribute_enable_causes_terror_ogr_maneaters	causes_terror	ogr_maneaters
wh3_dlc26_effect_attribute_enable_devastating_flanker_kho_chaos_knights_skullcrushers	devastating_flanker	kho_chaos_knights_skullcrushers
wh3_dlc26_effect_attribute_enable_devastating_flanker_ogr_gorgers	devastating_flanker	ogr_gorgers
wh3_dlc26_effect_attribute_enable_directional_armour_thundertusk_stonehorn	armoured_vehicle	ogr_stonehorn_thundertusk
wh3_dlc26_effect_attribute_enable_perfect_vigour_ogr_sabretusk	fatigue_immune	ogr_sabretusks
wh3_dlc26_effect_attribute_enable_strider_kho_chaos_knights_skullcrushers	strider	kho_chaos_knights_skullcrushers
wh3_dlc26_effect_attribute_enable_unbreakable_kho_non_daemonic_rank7	unbreakable	kho_non_daemonic_all_rank7
wh3_dlc26_effect_attribute_enable_unbreakable_kho_non_daemonic_ror	unbreakable	kho_non_daemonic_ror
wh3_dlc26_effect_attribute_enable_unbreakable_regiments_of_renown	unbreakable	wh2_main_ror_units_all
wh3_dlc26_effect_attribute_enable_vanguard_squig_herd_colossal_squig	guerrilla_deploy	squig_herd_colossal_squig
wh3_dlc26_effect_attribute_fear_black_orcs	causes_fear	grn_black_orcs
wh3_dlc26_effect_cause_fear_squig_hoppers_mangler	causes_fear	squig_hoppers_mangler_squigs
wh3_dlc26_effect_unit_enable_attribute_expert_charge_defence_kho_non_daemonic_infantry	charge_defense	kho_non_daemonic_infantry
wh3_dlc26_glorious_charge_bloodbeast_of_khorne_minotaurs_spawn_of_khorne	glorious_charge	wh3_dlc26_scyla_focus_units
wh3_dlc26_guerrilla_deploy_mournfang	guerrilla_deploy	ogr_mournfang
wh3_dlc26_kho_bloodletters_guerilla_deploy	guerrilla_deploy	kho_bloodletters
wh3_dlc26_ogr_hunters_beasts_enable_stalk	stalk	ogr_hunters_beasts_no_stonehorn_or_thundertusk
wh3_dlc26_ogr_inf_ogre_charge	ogre_charge	ogr_inf
wh3_dlc26_ogr_inf_ogre_charge_upgraded	ogre_charge_upgraded	ogr_inf
wh3_dlc26_snipe_grn_spider_riders	snipe	wh3_dlc26_grn_spider_riders_all
wh3_dlc26_stalk_grn_spider_riders	stalk	wh3_dlc26_grn_spider_riders_all
wh3_dlc26_unbreakable_grn_arachnarok_rank7	unbreakable	grn_arachnarok_rank7
wh3_dlc26_unbreakable_grn_arachnarok_rank7_ror	unbreakable	grn_arachnarok_rank7_ror
wh3_dlc26_unbreakable_wh3_dlc26_grn_spider_riders_rank7	unbreakable	wh3_dlc26_grn_spider_riders_rank7
wh3_dlc26_unbreakable_wh3_dlc26_grn_spider_riders_rank7_ror	unbreakable	wh3_dlc26_grn_spider_riders_rank7_ror
wh3_dlc26_unspottable_grn_spider_riders	unspottable	wh3_dlc26_grn_spider_riders_all
wh3_dlc26_vanguard_cultist_of_khorne	guerrilla_deploy	wh3_dlc26_chs_cultist_of_khorne
wh3_dlc26_vanguard_savage_orcs	guerrilla_deploy	grn_dlc06_savage_orcs
wh3_dlc27_attribute_360_missile_block_swordmasters	can_block_missiles_360	hef_swordmasters
wh3_dlc27_attribute_charge_reflection_swordmasters	charge_reflection	hef_swordmasters
